./input/Dataset_preproc/07_blocks_right_2_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,90,397,-1,-1,-1,0.005942590534687042,-1,-1,-1
1,3,0,90,397,-1,939,857,18.945006124675274,1557574768901.9778,12.192448903448163,1557574768901.9778
2,28,0,90,395,-1,937,855,40.10764071345329,1557574768901.9778,12.192448903448163,1557574768901.9778
3,2,0,90,392,-1,935,853,65.22111699730158,1557574768901.9778,12.192448903448163,1557574768901.9778
4,56,0,90,389,-1,928,845,91.74251774325967,1557574768901.9778,12.192448903448163,1557574768901.9778
5,26,0,90,387,-1,951,865,117.25399782508612,1557574768901.9778,12.192448903448163,1557574768901.9778
6,11,0,90,385,-1,950,864,143.24903608486056,1557574768901.9778,12.192448903448163,1557574768901.9778
7,44,0,90,382,-1,947,861,168.27065776661038,1557574768901.9778,12.192448903448163,1557574768901.9778
8,35,0,90,379,-1,946,860,192.64753030240536,1557574768901.9778,12.192448903448163,1557574768901.9778
9,33,0,90,376,-1,943,857,217.37082596868277,1557574768901.9778,12.192448903448163,1557574768901.9778
10,47,0,90,374,-1,941,855,240.98037111014128,1557574768901.9778,12.192448903448163,1557574768901.9778
11,40,0,90,371,-1,940,854,264.4072680436075,1557574768901.9778,12.192448903448163,1557574768901.9778
12,53,0,90,368,-1,952,867,287.5200768224895,1557574768901.9778,12.192448903448163,1557574768901.9778
13,50,0,90,366,-1,953,866,310.496201004833,1557574768901.9778,12.192448903448163,1557574768901.9778
14,21,0,90,364,-1,903,820,333.40743490308523,1557574768901.9778,12.192448903448163,1557574768901.9778
15,64,0,90,362,-1,943,858,356.05794171988964,1557574768901.9778,12.192448903448163,1557574768901.9778
16,23,0,90,360,-1,941,856,378.0921561792493,1557574768901.9778,12.192448903448163,1557574768901.9778
17,12,0,90,357,-1,893,809,399.92157769575715,1557574768901.9778,12.192448903448163,1557574768901.9778
18,67,0,90,355,-1,891,807,422.1561296135187,1557574768901.9778,12.192448903448163,1557574768901.9778
19,59,0,90,352,-1,888,804,444.0223758816719,1557574768901.9778,12.192448903448163,1557574768901.9778
20,38,0,90,349,-1,903,819,465.73859072849154,1557574768901.9778,12.192448903448163,1557574768901.9778
21,14,0,90,347,-1,910,823,487.19632617384195,1557574021579.1938,12.192448695074063,1557574021579.1938
22,42,0,90,344,-1,857,775,507.97414525970817,1557574021579.1938,12.192448695074063,1557574021579.1938
23,20,0,90,341,-1,908,821,528.5997828058898,1557574021579.1938,12.192448695074063,1557574021579.1938
24,58,0,90,338,-1,915,827,548.6566596925259,1557574021579.1938,12.192448695074063,1557574021579.1938
25,60,0,90,335,-1,778,700,568.4897054061294,1555736920231.009,12.191936158365891,1555736920231.009
26,24,0,90,332,-1,885,798,587.6007701270282,1555736920231.009,12.191936158365891,1555736920231.009
27,5,0,90,329,-1,790,713,606.8008789345622,1555736920231.009,12.191936158365891,1555736920231.009
28,45,0,90,326,-1,790,712,625.7654027752578,1555736920231.009,12.191936158365891,1555736920231.009
29,39,0,90,323,-1,784,707,644.839991055429,1555736920231.009,12.191936158365891,1555736920231.009
30,88,0,90,320,-1,752,683,662.5979437828064,1555029608090.8906,12.191738662499883,1555029608090.8906
31,31,0,90,301,-1,680,613,680.0769205018878,1553024035547.7896,12.191178177187025,1553024035547.7896
32,17,0,90,298,-1,678,611,697.5897799134254,1553024035547.7896,12.191178177187025,1553024035547.7896
33,43,0,90,295,-1,648,585,714.6249141693115,1553024035547.7896,12.191178177187025,1553024035547.7896
34,65,0,90,292,-1,650,585,731.677524395287,1553024035547.7896,12.191178177187025,1553024035547.7896
35,77,0,90,289,-1,619,555,748.5936178192496,1548647587985.3254,12.189952600453724,1548647587985.3254
36,66,0,90,286,-1,612,547,765.1168274953961,1543198625970.9487,12.188421827950044,1543198625970.9487
37,46,0,90,283,-1,583,520,781.1433645747602,1543198625970.9487,12.188421827950044,1543198625970.9487
38,29,0,90,280,-1,587,525,796.912247557193,1543198625970.9487,12.188421827950044,1543198625970.9487
39,34,0,90,277,-1,574,511,811.9356781989336,1543198625970.9487,12.188421827950044,1543198625970.9487
40,8,0,90,274,-1,559,494,826.8517294600606,1543198625970.9487,12.188421827950044,1543198625970.9487
41,89,0,90,271,-1,507,447,841.8069042637944,1534335571967.3147,12.185920353821286,1534335571967.3147
42,79,0,90,253,-1,515,460,856.7458420805633,1523853119863.4204,12.18294310853445,1523853119863.4204
43,51,0,90,239,-1,403,363,870.9776106514037,1510821535916.4573,12.179213166824683,1510821535916.4573
44,27,0,90,237,-1,372,332,885.009115897119,1510821535916.4573,12.179213166824683,1510821535916.4573
45,57,0,90,235,-1,409,364,898.4424951672554,1510821535916.4573,12.179213166824683,1510821535916.4573
46,6,0,90,233,-1,407,362,911.7246341891587,1510821535916.4573,12.179213166824683,1510821535916.4573
47,32,0,90,231,-1,390,347,924.8633090779185,1510821535916.4573,12.179213166824683,1510821535916.4573
48,84,0,90,229,-1,362,324,937.6924940161407,1495220695052.2434,12.174705299395917,1495220695052.2434
49,90,0,90,214,-1,303,276,950.4820417612791,1479559861944.9229,12.170132541099507,1479559861944.9229
50,87,0,90,199,-1,260,236,962.3503283895552,1454507333136.035,12.162715915155086,1454507333136.035
51,18,0,90,185,-1,219,198,974.2396752312779,1422950136924.6506,12.153189681786397,1422950136924.6506
52,36,0,90,184,-1,208,188,985.4185176938772,1422950136924.6506,12.153189681786397,1422950136924.6506
53,49,0,90,183,-1,206,186,996.4993565045297,1422950136924.6506,12.153189681786397,1422950136924.6506
