./input/Dataset_preproc/10_comm_p01_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,170,412,-1,-1,-1,0.00527147576212883,-1,-1,-1
1,119,0,170,412,-1,2826,2469,49.02913774177432,6.038513447229301e+41,41.780930037772535,6.038513447229301e+41
2,14,0,170,412,-1,-1,-1,49.126231495290995,-1,-1,282096.6310171295
3,42,0,170,412,-1,2055,1776,102.75313383713365,6.037470798579601e+41,41.78085504321358,6.037470798579601e+41
4,97,0,170,411,-1,2534,2216,155.49638315662742,6.037470798579601e+41,41.78085504321358,6.037470798579601e+41
5,84,0,170,410,-1,2629,2296,207.1269292794168,6.037470798579601e+41,41.78085504321358,6.037470798579601e+41
6,67,0,170,409,-1,2670,2332,258.5112823471427,6.037470798579601e+41,41.78085504321358,6.037470798579601e+41
7,48,1,170,408,-1,2519,2197,310.80270352959633,6.0361186262015835e+41,41.780757766259036,6.0361186262015835e+41
8,135,1,170,404,-1,-1,-1,310.88133543357253,-1,-1,295056.48276106664
9,68,0,170,404,-1,2472,2150,360.68580657988787,6.0344690343382535e+41,41.780639063066076,6.0344690343382535e+41
10,43,0,170,402,-1,2478,2155,410.9343175254762,6.0344690343382535e+41,41.780639063066076,6.0344690343382535e+41
11,98,0,170,400,-1,2477,2150,462.2400979027152,6.0344690343382535e+41,41.780639063066076,6.0344690343382535e+41
12,85,0,170,398,-1,2408,2087,512.5207344070077,6.0344690343382535e+41,41.780639063066076,6.0344690343382535e+41
13,78,0,170,396,-1,2521,2179,562.2125696055591,6.0268785246080855e+41,41.78009243808745,6.0268785246080855e+41
14,56,0,170,394,-1,2519,2177,611.4949405230582,6.0268785246080855e+41,41.78009243808745,6.0268785246080855e+41
15,90,0,170,392,-1,2518,2176,660.9811124950647,6.0268785246080855e+41,41.78009243808745,6.0268785246080855e+41
16,32,0,170,390,-1,2568,2219,709.4780895933509,6.0268785246080855e+41,41.78009243808745,6.0268785246080855e+41
17,103,0,170,388,-1,2436,2107,757.965322047472,6.01790567237653e+41,41.77944537611137,6.01790567237653e+41
18,66,0,170,387,-1,1634,1382,805.3171860575676,6.007645997758941e+41,41.77870433382477,6.007645997758941e+41
19,83,0,170,385,-1,1616,1368,851.8145201541483,6.007645997758941e+41,41.77870433382477,6.007645997758941e+41
20,41,0,170,383,-1,1621,1366,899.0891334228218,6.007645997758941e+41,41.77870433382477,6.007645997758941e+41
21,96,0,170,381,-1,1599,1347,945.9162140078843,6.007645997758941e+41,41.77870433382477,6.007645997758941e+41
22,69,0,170,379,-1,2011,1648,991.5647165440023,5.9984144560896285e+41,41.77803646972198,5.9984144560896285e+41
23,99,0,170,377,-1,2005,1642,1036.5423407703638,5.9984144560896285e+41,41.77803646972198,5.9984144560896285e+41
24,44,0,170,375,-1,2004,1640,1083.054453317076,5.9984144560896285e+41,41.77803646972198,5.9984144560896285e+41
25,86,0,170,373,-1,1931,1582,1128.178338482976,5.9984144560896285e+41,41.77803646972198,5.9984144560896285e+41
26,31,0,170,371,-1,1765,1432,1173.400112695992,5.9867364049607625e+41,41.77719013665058,5.9867364049607625e+41
27,89,0,170,370,-1,1859,1509,1218.5355854555964,5.9867364049607625e+41,41.77719013665058,5.9867364049607625e+41
28,55,0,170,369,-1,1875,1524,1263.00793877244,5.9867364049607625e+41,41.77719013665058,5.9867364049607625e+41
29,77,0,170,368,-1,1875,1529,1308.0240342654288,5.9867364049607625e+41,41.77719013665058,5.9867364049607625e+41
30,100,0,170,367,-1,1760,1426,1352.324292998761,5.9738378546056065e+41,41.77625343055373,5.9738378546056065e+41
31,87,0,170,365,-1,1846,1510,1395.3393636196852,5.9738378546056065e+41,41.77625343055373,5.9738378546056065e+41
32,70,0,170,363,-1,1748,1414,1438.1015171222389,5.9738378546056065e+41,41.77625343055373,5.9738378546056065e+41
33,45,0,170,361,-1,1698,1376,1480.7190929315984,5.9738378546056065e+41,41.77625343055373,5.9738378546056065e+41
34,167,0,170,359,-1,1662,1361,1523.5293765477836,5.960019786737708e+41,41.77524770156184,5.960019786737708e+41
35,142,1,170,346,-1,1490,1209,1565.9067405574024,5.946536443961726e+41,41.77426408484599,5.946536443961726e+41
36,170,0,170,341,-1,1346,1124,1607.3451643958688,5.93203922569472e+41,41.77320401414435,5.93203922569472e+41
37,169,0,170,328,-1,1244,1043,1648.6442124024034,5.923061335768809e+41,41.7725462299646,5.923061335768809e+41
38,166,0,170,315,-1,1193,1000,1688.7763409614563,5.918215697505561e+41,41.772190789572385,5.918215697505561e+41
39,168,0,170,302,-1,1150,962,1729.3674375079572,5.916393841982111e+41,41.77205707636381,5.916393841982111e+41
40,132,0,170,289,-1,1130,943,1769.5154653936625,5.916121785701265e+41,41.77203710554014,5.916121785701265e+41
41,105,0,170,285,-1,1123,937,1808.8013910502195,5.8986451052239925e+41,41.770752267422004,5.8986451052239925e+41
42,81,0,170,284,-1,870,706,1848.0427580550313,5.865320409256166e+41,41.7682917416299,5.865320409256166e+41
43,93,0,170,282,-1,868,704,1886.2304371520877,5.865320409256166e+41,41.7682917416299,5.865320409256166e+41
44,35,0,170,280,-1,2019,1709,1923.748203895986,5.865320409256166e+41,41.7682917416299,5.865320409256166e+41
45,59,0,170,278,-1,841,669,1961.9332756102085,5.865320409256167e+41,41.7682917416299,5.865320409256167e+41
46,148,0,170,276,-1,831,662,1999.4257977306843,5.8205602568699165e+41,41.76496478959086,5.8205602568699165e+41
47,104,0,170,276,-1,-1,-1,1999.5197819396853,-1,-1,260731.5148007758
48,126,1,170,276,-1,824,657,2036.6769085861742,5.765269330795845e+41,41.76081960064134,5.765269330795845e+41
49,21,1,170,276,-1,-1,-1,2036.768193475902,-1,-1,190320.2875653963
50,39,1,170,276,-1,783,623,2073.6453716009855,5.701921014102674e+41,41.75602119694802,5.701921014102674e+41
51,157,1,170,275,-1,-1,-1,2073.702425327152,-1,-1,199461.7346409883
52,74,1,170,274,-1,-1,-1,2073.8205989561975,-1,-1,217024.9074569864
53,79,0,170,273,-1,797,634,2109.5162929929793,5.618884862361778e+41,41.74965013297526,5.618884862361778e+41
54,57,0,170,271,-1,782,621,2144.510111439973,5.618884862361778e+41,41.74965013297526,5.618884862361778e+41
55,33,0,170,269,-1,820,653,2179.128351263702,5.618884862361778e+41,41.74965013297526,5.618884862361778e+41
56,91,0,170,267,-1,717,562,2213.2712020352483,5.618884862361778e+41,41.74965013297526,5.618884862361778e+41
57,120,1,170,265,-1,710,557,2247.373199388385,5.520439612231946e+41,41.74197366351986,5.520439612231946e+41
58,15,1,170,265,-1,-1,-1,2247.4562674723566,-1,-1,119413.27659912941
59,71,0,170,265,-1,701,550,2280.7587765678763,5.405643708889865e+41,41.73284741754429,5.405643708889865e+41
60,154,0,170,265,-1,-1,-1,2280.8285354189575,-1,-1,208059.0740011328
61,36,0,170,264,-1,-1,-1,2280.938424061984,-1,-1,206321.63310826043
62,51,0,170,264,-1,694,545,2313.2390797138214,5.221465529925574e+41,41.717792415307024,5.221465529925574e+41
63,138,0,170,264,-1,-1,-1,2313.3206201791763,-1,-1,238637.1421360717
64,7,1,170,264,-1,687,540,2346.0324792712927,5.0412426273878365e+41,41.702537599878134,5.0412426273878365e+41
65,112,1,170,264,-1,-1,-1,2346.1166092045605,-1,-1,106279.40267750356
66,121,1,170,264,-1,680,535,2378.1287979260087,4.860811751667233e+41,41.686708802149376,4.860811751667233e+41
67,16,1,170,264,-1,-1,-1,2378.219836946577,-1,-1,221398.6217196107
68,151,0,170,264,-1,547,432,2408.9775898382068,4.654078576905148e+41,41.66783371140198,4.654078576905148e+41
69,28,0,170,256,-1,-1,-1,2409.1031922139227,-1,-1,231521.03073631332
70,62,0,170,256,-1,-1,-1,2409.192695580423,-1,-1,124219.03423133613
71,76,1,170,256,-1,548,434,2440.349500708282,4.422002850809364e+41,41.64561901822695,4.422002850809364e+41
72,143,1,170,253,-1,595,470,2470.716348338872,4.2302969348606774e+41,41.62637085263402,4.2302969348606774e+41
73,34,0,170,253,-1,593,468,2499.9817669801414,4.2302969348606774e+41,41.62637085263402,4.2302969348606774e+41
74,58,0,170,252,-1,591,466,2528.6494642160833,4.2302969348606774e+41,41.62637085263402,4.2302969348606774e+41
75,80,0,170,251,-1,603,476,2557.311442196369,4.2302969348606774e+41,41.62637085263402,4.2302969348606774e+41
76,92,0,170,250,-1,521,408,2585.7845845855772,4.2302969348606774e+41,41.62637085263402,4.2302969348606774e+41
77,88,0,170,249,-1,362,281,2613.425154224038,4.10513020896883e+41,41.61332693688538,4.10513020896883e+41
78,164,0,170,209,-1,402,318,2640.8711530193686,3.9732795170459264e+41,41.5991491184006,3.9732795170459264e+41
79,17,0,170,205,-1,395,313,2667.516214109957,3.753701757117471e+41,41.57445976365464,3.753701757117471e+41
80,122,0,170,205,-1,-1,-1,2667.6160057224333,-1,-1,237709.24164110268
81,72,1,170,205,-1,386,306,2694.5572634004056,3.4510768999524863e+41,41.53795463673366,3.4510768999524863e+41
82,155,1,170,205,-1,-1,-1,2694.6304996684194,-1,-1,199578.4396049049
83,37,1,170,204,-1,-1,-1,2694.722823511809,-1,-1,127905.39208884246
84,18,0,170,204,-1,379,301,2720.999620769173,3.1720424372637716e+41,41.501338988906035,3.1720424372637716e+41
85,123,0,170,204,-1,-1,-1,2721.1207301951945,-1,-1,212253.17616227258
86,136,0,170,204,-1,372,296,2746.6517835892737,2.901614121626146e+41,41.46263965620947,2.901614121626146e+41
87,49,0,170,204,-1,-1,-1,2746.7547224126756,-1,-1,144154.4642220572
88,125,1,170,204,-1,365,291,2771.492496460676,2.6480882918441433e+41,41.4229324611383,2.6480882918441433e+41
89,20,1,170,204,-1,-1,-1,2771.5675829201937,-1,-1,159548.2761290598
90,146,1,170,204,-1,360,287,2795.365901719779,2.3863583742241897e+41,41.377735664925574,2.3863583742241897e+41
91,75,0,170,203,-1,351,280,2818.7720921225846,2.110424311107132e+41,41.32436978110167,2.110424311107132e+41
92,158,0,170,203,-1,-1,-1,2818.8526162169874,-1,-1,33642.96219713321
93,40,0,170,202,-1,-1,-1,2818.9338826797903,-1,-1,149448.99723469903
94,109,1,170,202,-1,344,275,2841.6047599874437,1.8534758878408036e+41,41.26798694059715,1.8534758878408036e+41
95,4,1,170,202,-1,-1,-1,2841.698310084641,-1,-1,165394.43072486736
96,82,1,170,202,-1,335,267,2863.630072314292,1.6249772374322223e+41,41.2108472817907,1.6249772374322223e+41
97,144,1,170,199,-1,-1,-1,2863.719365198165,-1,-1,170701.1194290586
98,129,1,170,199,-1,328,262,2884.8294337652624,1.4102304787000136e+41,41.14929009666083,1.4102304787000136e+41
99,24,1,170,199,-1,-1,-1,2884.9650839976966,-1,-1,183307.05320327487
100,134,1,170,199,-1,321,257,2905.3799025155604,1.2096702664452709e+41,41.08266700587135,1.2096702664452709e+41
101,47,1,170,199,-1,-1,-1,2905.519416511059,-1,-1,144910.2792788113
102,147,1,170,199,-1,314,252,2926.1534226834774,1.0303724432948006e+41,41.012994235220475,1.0303724432948006e+41
103,102,1,170,199,-1,-1,-1,2926.2599637545645,-1,-1,199987.36504922147
104,161,0,170,199,-1,264,205,2945.991338726133,8.688801682420899e+40,40.93895988478036,8.688801682420899e+40
105,163,0,170,195,-1,274,214,2965.0027517043054,7.517746423458305e+40,40.876087672701274,7.517746423458305e+40
106,165,0,170,191,-1,257,201,2984.097387779504,6.993775688704418e+40,40.84471169907415,6.993775688704418e+40
107,162,0,170,187,-1,242,187,3002.8460644818842,6.706646052364701e+40,40.82650538676989,6.706646052364701e+40
108,141,1,170,183,-1,227,173,3022.0998748913407,6.141033827435776e+40,40.78824148966815,6.141033827435776e+40
109,131,0,170,179,-1,216,163,3040.473545305431,6.071278379020532e+40,40.78328014651168,6.071278379020532e+40
110,150,1,170,176,-1,186,137,3058.7335651777685,5.243046951456579e+40,40.71958374683583,5.243046951456579e+40
111,61,1,170,175,-1,-1,-1,3058.8173215314746,-1,-1,200794.1348886817
