./input/Dataset_preproc/12_flip_1_p_t10.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,41,100,-1,-1,-1,0.0026414059102535248,-1,-1,-1
1,9,0,41,100,-1,302,265,14.19163865223527,80740186390.79852,10.907089747655442,80740186390.79852
2,18,0,41,99,-1,284,249,27.06534419581294,79869906100.85275,10.902383173853963,79869906100.85275
3,5,0,41,98,-1,265,232,39.36288217455149,78917930524.23051,10.897175688165415,78917930524.23051
4,7,1,41,97,-1,257,226,51.36390617489815,78647965694.32066,10.895687493657881,78647965694.32066
5,14,0,41,92,-1,242,213,63.09497730061412,77433096644.6373,10.88892662758055,77433096644.6373
6,39,1,41,91,-1,204,180,74.58807592093945,74986986702.06058,10.874985902140368,74986986702.06058
7,11,0,41,90,-1,176,158,85.78074297681451,71487700733.58617,10.85423132903179,71487700733.58617
8,3,0,41,89,-1,165,148,96.83930683881044,66604175659.33053,10.823501457533034,66604175659.33053
9,27,0,41,88,-1,159,143,107.42069024220109,61810087904.40525,10.791059361232515,61810087904.40525
10,29,0,41,87,-1,150,135,117.83060673996806,58070922224.76922,10.763958723122148,58070922224.76922
11,28,0,41,86,-1,120,107,127.7331115975976,57521168509.924255,10.759827699910597,57521168509.924255
12,8,1,41,81,-1,116,103,137.31552338972688,53162670284.08923,10.72560678680267,53162670284.08923
13,34,1,41,80,-1,-1,-1,137.46555351093411,-1,-1,148105.52929509187
14,10,0,41,80,-1,-1,-1,137.58275943994522,-1,-1,182364.74454175483
15,36,0,41,76,-1,94,84,146.36577588692307,47660664787.36244,10.67816009574165,47660664787.36244
16,15,0,41,73,-1,-1,-1,146.47428038343787,-1,-1,180586.7234008706
17,2,0,41,72,-1,87,78,154.41552421450615,42710783794.81978,10.630537541331806,42710783794.81978
18,32,0,41,71,-1,85,76,162.06585782021284,42710783794.81978,10.630537541331806,42710783794.81978
19,38,1,41,68,-1,61,55,169.87072689831257,36634012123.566444,10.563884484804506,36634012123.566444
20,1,1,41,67,-1,50,46,177.132103074342,30606563233.05069,10.48581456603256,30606563233.05069
21,4,1,41,67,-1,-1,-1,177.2614320665598,-1,-1,165394.43072486736
22,6,0,41,65,-1,-1,-1,177.36023722961545,-1,-1,173068.0619626617
23,33,0,41,64,-1,-1,-1,177.47061505913734,-1,-1,170741.17100110685
24,22,1,41,63,-1,24,21,183.23132223263383,24486025228.626534,10.388918292622717,24486025228.626534
25,23,1,41,58,-1,-1,-1,183.32135997712612,-1,-1,217336.59745819058
26,19,0,41,57,-1,-1,-1,183.42197408154607,-1,-1,140534.58784744848
27,21,1,41,53,-1,-1,-1,183.49800889194012,-1,-1,190320.2875653963
28,20,0,41,52,-1,-1,-1,183.60699521750212,-1,-1,140451.7238709402
29,24,0,41,52,-1,-1,-1,183.78737957403064,-1,-1,116692.94679672513
30,25,0,41,52,-1,-1,-1,183.86671735718846,-1,-1,83266.98522893352
31,26,0,41,50,-1,-1,-1,183.9675969928503,-1,-1,203112.32584404654
32,40,0,41,49,-1,-1,-1,184.07257033884525,-1,-1,149448.99723469903
33,31,0,41,48,-1,14,13,187.09371342137456,19013600913.900017,10.279064374042758,19013600913.900017
34,41,0,41,48,-1,-1,-1,187.2018392123282,-1,-1,112814.11446236665
35,30,0,41,47,-1,-1,-1,187.35299798846245,-1,-1,110707.16284365367
36,17,0,41,47,-1,0,0,189.6340038999915,11000070407.487663,10.041395464929636,11000070407.487663
37,16,0,41,46,-1,-1,-1,189.7448158711195,-1,-1,78601.37828038928
38,37,0,41,44,-1,-1,-1,189.8332230374217,-1,-1,172094.60791115754
39,13,0,41,43,-1,-1,-1,189.95022827759385,-1,-1,168428.32659611266
40,35,0,41,42,-1,-1,-1,190.12873150780797,-1,-1,172250.9129112516
41,12,0,41,41,-1,-1,-1,190.22701281681657,-1,-1,81285.08778478751
./input/Dataset_preproc/12_flip_1_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,5,10,-1,-1,-1,0.001398969441652298,-1,-1,-1
1,3,0,5,10,-1,15,13,1.6449168883264065,31.657125,1.5004714710654858,31.657125
2,1,1,5,9,-1,8,7,2.9884880296885967,26.533137,1.4237885994451895,26.533137
3,2,0,5,6,-1,0,0,4.132203854620457,14.446582,1.1597651070144448,14.446582
4,4,1,5,6,-1,-1,-1,4.227913573384285,-1,-1,165394.43072486736
5,5,0,5,6,-1,-1,-1,4.346636321395636,-1,-1,84159.30906433107
./input/Dataset_preproc/12_flip_1_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
