./input/Dataset_preproc/14_safe_safe_10_p_t10.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,321,666,-1,-1,-1,0.006593257188796997,-1,-1,-1
1,220,0,321,666,-1,3413,3031,115.83794372528791,9.602046823862565e+64,64.98236381945189,9.602046823862565e+64
2,128,0,321,665,-1,3154,2820,230.0014059767127,9.602046710002754e+64,64.98236381430208,9.602046710002754e+64
3,17,0,321,664,-1,3327,2989,343.6285860873759,9.602046083657818e+64,64.9823637859729,9.602046083657818e+64
4,205,0,321,663,-1,3118,2790,457.00536082684994,9.602045381974917e+64,64.98236375423622,9.602045381974917e+64
5,183,0,321,662,-1,3157,2816,570.5535280890763,9.602044633887564e+64,64.9823637204007,9.602044633887564e+64
6,172,0,321,661,-1,3133,2816,684.3910915888846,9.602043876099268e+64,64.9823636861264,9.602043876099268e+64
7,161,0,321,660,-1,3240,2883,799.0072622224689,9.602043077792039e+64,64.98236365001947,9.602043077792039e+64
8,139,0,321,659,-1,2999,2687,911.8257965408266,9.602041037603646e+64,64.98236355774299,9.602041037603646e+64
9,194,0,321,658,-1,3076,2724,1025.3613415509462,9.602038350705462e+64,64.9823634362162,9.602038350705462e+64
10,150,0,321,657,-1,3158,2811,1140.0564416125417,9.602037689080439e+64,64.9823634062913,9.602037689080439e+64
11,216,0,321,656,-1,3070,2670,1248.46058922261,9.602035944149217e+64,64.98236332736909,9.602035944149217e+64
12,75,0,321,655,-1,2971,2628,1357.7000035829842,9.602035612352519e+64,64.98236331236211,9.602035612352519e+64
13,76,0,321,652,-1,-1,-1,1357.8057995513082,-1,-1,121670.43616648726
14,77,0,321,649,-1,-1,-1,1357.8900642544031,-1,-1,132964.4422817134
15,78,0,321,646,-1,-1,-1,1358.007902316749,-1,-1,252312.10675658318
16,79,0,321,643,-1,-1,-1,1358.1250530481339,-1,-1,254078.84546256808
17,80,0,321,640,-1,-1,-1,1358.2420555613935,-1,-1,91341.14136872673
18,81,0,321,637,-1,-1,-1,1358.4265576899052,-1,-1,204370.0720854371
19,74,0,321,637,-1,-1,-1,1358.5267112776637,-1,-1,82975.09254301357
20,73,0,321,634,-1,-1,-1,1358.618923328817,-1,-1,111825.30838461938
21,72,0,321,631,-1,-1,-1,1358.745398759842,-1,-1,34401.952117458124
22,6,0,321,628,-1,-1,-1,1358.8710054121912,-1,-1,173068.0619626617
23,132,0,321,617,-1,2738,2438,1461.4061934053898,9.602027545861172e+64,64.98236294751925,9.602027545861172e+64
24,131,0,321,616,-1,2925,2588,1558.9063179530203,9.602019098921879e+64,64.9823625654686,9.602019098921879e+64
25,187,0,321,615,-1,2897,2565,1657.782346073538,9.602008943138404e+64,64.9823621061274,9.602008943138404e+64
26,197,0,321,614,-1,2828,2500,1758.7716045975685,9.60199776637112e+64,64.98236160060702,9.60199776637112e+64
27,142,0,321,613,-1,2844,2520,1860.3376033306122,9.601985477503437e+64,64.98236104478615,9.601985477503437e+64
28,176,0,321,612,-1,2818,2498,1960.759620923549,9.601972619962981e+64,64.98236046324365,9.601972619962981e+64
29,154,0,321,611,-1,2742,2428,2060.5026014707983,9.601956087011099e+64,64.98235971546231,9.601956087011099e+64
30,14,0,321,610,-1,2779,2465,2160.5237704515457,9.601939367628069e+64,64.98235895924742,9.601939367628069e+64
31,221,1,321,609,-1,2498,2201,2259.0751399435103,9.601916638408866e+64,64.98235793120655,9.601916638408866e+64
32,21,0,321,600,-1,2605,2300,2356.6324677579105,9.601888097387227e+64,64.98235664029484,9.601888097387227e+64
33,209,0,321,599,-1,2501,2218,2453.726845577359,9.601877423700594e+64,64.98235615752252,9.601877423700594e+64
34,198,0,321,598,-1,2469,2190,2550.6977235004306,9.601873138808262e+64,64.9823559637161,9.601873138808262e+64
35,143,0,321,597,-1,2368,2112,2648.3570485152304,9.601872027116101e+64,64.98235591343405,9.601872027116101e+64
36,165,0,321,596,-1,2346,2092,2744.798015072942,9.601871971337924e+64,64.9823559109112,9.601871971337924e+64
