./input/Dataset_preproc/01_istance_K3_N15_M45_01.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,508,352,293,0.001185,308064.350781,5.488641444649738,0
1,10,0,15,45,507,270,222,3.4220312982797623,308003.823759,5.488556108146956,308003.823759
2,7,1,15,33,260,166,134,6.5079358741641045,301309.153661,5.479012325580014,301309.153661
3,11,0,15,31,200,134,110,9.332196354866028,291960.016377,5.465323379339454,291960.016377
4,8,1,15,29,166,107,88,11.903322368860245,280767.802514,5.448347302915594,280767.802514
5,14,0,15,26,84,80,65,14.32414012029767,252354.869538,5.402011689466291,252354.869538
6,12,0,15,26,76,57,47,16.529584888368845,229848.795931,5.361442233029151,229848.795931
7,2,0,15,21,58,38,31,18.513718500733376,208749.898564,5.319626273122798,208749.898564
8,3,0,15,18,40,13,11,20.308981116861105,183146.393254,5.262798370419024,183146.393254
9,15,1,15,17,36,7,6,21.862583585083485,164934.824784,5.217312363435476,164934.824784
10,5,1,15,13,32,0,0,23.263798888772726,154959.939327,5.1902194376674675,154959.939327
11,1,1,15,10,16,0,0,24.4329118989408,107924.822743,5.033121344038519,107924.822743
12,6,0,15,11,8,0,0,25.393225111067295,62261.133033,4.794217019743578,62261.133033
13,13,0,15,12,4,0,0,26.19517869502306,34955.128162,4.54351089879652,34955.128162
14,4,1,15,13,2,0,0,26.820132866501808,19271.278411,4.284910525679166,19271.278411
15,9,0,15,14,1,0,0,27.208021979779005,10003.105841,4.0001348640185705,10003.105841
./input/Dataset_preproc/01_istance_K3_N15_M45_02.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,456,541,457,0.001548,8752.361038,3.9421252241604194,0
1,15,1,15,45,391,422,356,3.3099713921546936,8519.101847,3.9303938103238734,8519.101847
2,4,1,15,38,348,294,245,6.290199134498835,7908.119862,3.8980732432175946,7908.119862
3,12,1,15,32,239,242,200,9.149748381227255,7272.179232,3.8616645740793327,7272.179232
4,13,0,15,29,214,214,178,11.918713971972466,6424.021556,3.8078069895614317,6424.021556
5,6,0,15,23,148,139,113,14.304836191236973,5414.776233,3.7335805140026475,5414.776233
6,14,0,15,21,75,71,58,16.506252724677324,4319.421654,3.6354256011457076,4319.421654
7,1,1,15,20,36,39,33,18.545420330017805,3262.093187,3.5134963632100282,3262.093187
8,3,1,15,19,34,23,19,20.40073272585869,2865.548107,3.4572077038177667,2865.548107
9,10,1,15,16,24,22,18,22.069725207984447,2529.82104,3.4030898001918546,2529.82104
10,11,1,15,15,17,16,13,23.51080396771431,2353.037478,3.3716288444556515,2353.037478
11,8,0,15,14,12,5,4,24.689997740089893,2278.718037,3.3576905899672,2278.718037
12,7,1,15,13,6,5,4,25.705945212394,2234.885069,3.349255194052961,2234.885069
13,2,1,15,14,4,0,0,26.510170836001635,1314.739541,3.1188397246050585,1314.739541
14,5,1,15,13,2,0,0,27.13554272055626,945.914303,2.975851792405945,945.914303
15,9,0,15,14,1,0,0,27.511275079101324,490.993938,2.691076130189361,490.993938
./input/Dataset_preproc/01_istance_K3_N15_M45_03.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,557,383,319,0.001291,356980.574653,5.55264458431796,0
1,7,1,15,45,401,214,175,3.4279835410416126,355628.557528,5.550996628222948,355628.557528
2,9,1,15,41,398,173,140,6.393686026334763,354141.785612,5.549177172705764,354141.785612
3,10,1,15,31,390,174,140,9.198721140623093,348055.480338,5.541648476372384,348055.480338
4,14,0,15,25,280,111,89,11.810870304703712,341381.584422,5.533240089714802,341381.584422
5,12,1,15,22,216,47,38,14.17283371090889,316985.715523,5.501039691841362,316985.715523
6,6,1,15,19,168,35,27,16.352276723831892,274465.293367,5.438487434934909,274465.293367
7,4,0,15,15,144,28,21,18.35656289756298,242434.205416,5.3845938950957235,242434.205416
8,8,1,15,12,96,14,11,20.1605443097651,212719.423021,5.32780714634713,212719.423021
9,5,1,15,10,64,0,0,21.76281262934208,170177.896263,5.230903150611059,170177.896263
10,3,0,15,9,32,0,0,23.15388073772192,131572.793132,5.119166094337177,131572.793132
11,2,0,15,10,16,0,0,24.3088734485209,93924.641607,4.972779546579189,93924.641607
12,1,1,15,11,8,0,0,25.319079343229532,65415.618648,4.815681452954395,65415.618648
13,11,0,15,12,4,0,0,26.07954654097557,42966.416415,4.633129133155825,42966.416415
14,15,0,15,13,2,0,0,26.65534209832549,25863.881189,4.412693696588026,25863.881189
15,13,0,15,14,1,0,0,27.05613360181451,14520.70076,4.16198757565178,14520.70076
./input/Dataset_preproc/01_istance_K3_N15_M45_04.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,43,296,194,161,0.000939,3175.749912,3.5018462947264597,0
1,9,0,15,43,273,140,114,3.3832827247679234,2774.679022,3.443212750688671,2774.679022
2,4,0,15,35,255,104,85,6.409646853804588,2410.933933,3.382185309536863,2410.933933
3,3,0,15,26,188,102,83,9.272523947060108,2175.385941,3.3375363174642247,2175.385941
4,2,1,15,23,152,96,78,11.890440110117197,1898.675236,3.2784506860245424,1898.675236
5,1,1,15,21,92,78,64,14.378416549414396,1541.825587,3.188035248625716,1541.825587
6,11,0,15,19,77,74,60,16.61082948371768,1281.419071,3.107691183186692,1281.419071
7,7,0,15,19,68,47,37,18.712845098227262,962.190058,2.98326086516471,962.190058
8,14,0,15,16,26,19,16,20.54086033627391,893.551882,2.951119773867026,893.551882
9,10,0,15,16,23,18,15,22.146289706230164,785.874522,2.895353209203225,785.874522
10,12,0,15,15,20,6,5,23.57931500673294,618.947063,2.7916535064835917,618.947063
11,6,0,15,12,16,0,0,24.7908990457654,581.255251,2.7643668892872983,581.255251
12,5,1,15,11,8,0,0,25.792608458548784,418.195117,2.621378957529152,418.195117
13,8,1,15,12,4,0,0,26.583294454962015,286.392452,2.4569615677631003,286.392452
14,15,0,15,13,2,0,0,27.178618475794792,172.395582,2.2365261319202117,172.395582
15,13,0,15,14,1,0,0,27.613129168748856,96.787665,1.9858200126412473,96.787665
./input/Dataset_preproc/01_istance_K3_N15_M45_05.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,492,291,237,0.001128,25065.885538,4.399083052155674,0
1,4,0,15,45,422,199,163,3.3596894107759,24235.658397,4.384454822461914,24235.658397
2,14,0,15,39,304,164,134,6.489994812756777,23364.268522,4.368552188877053,23364.268522
3,11,0,15,34,227,120,100,9.437485326081514,21949.056904,4.341415864432904,21949.056904
4,15,1,15,31,140,113,94,12.347490809857845,20716.887582,4.316324509398727,20716.887582
5,7,1,15,31,53,54,45,15.33355651423335,19902.113531,4.298899199329826,19902.113531
6,3,0,15,31,41,44,37,17.58187499642372,18685.41849,4.271502829018006,18685.41849
7,6,0,15,27,30,33,28,20.16755911335349,15231.023976,4.182729101771848,15231.023976
8,5,0,15,23,25,19,16,22.061242822557688,12344.553165,4.091475374422918,12344.553165
9,1,0,15,19,17,13,11,23.98111167922616,9039.071619,3.956123827438852,9039.071619
10,12,1,15,17,9,9,8,25.74841734394431,7598.497468,3.8807277230874737,7598.497468
11,10,0,15,17,5,8,7,27.129959601908922,6078.582197,3.783802293775439,6078.582197
12,13,0,15,16,3,7,6,28.253492914140224,5045.193029,3.702877786990339,5045.193029
13,9,0,15,15,2,6,5,29.051580868661404,4408.983418,3.6443384654662316,4408.983418
14,2,0,15,15,1,0,0,29.71026259660721,3722.324636,3.5708142466763317,3722.324636
15,8,1,15,15,1,0,0,30.154042098671198,3722.324636,3.5708142466763317,3722.324636
./input/Dataset_preproc/01_istance_K3_N15_M45_06.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,408,243,200,0.001111,19240.859155,4.284224460526375,0
1,12,1,15,45,359,185,153,4.250375099480152,19118.582723,4.281455694509422,19118.582723
2,1,0,15,39,357,181,149,7.957747686654329,18930.512685,4.277162375889385,18930.512685
3,14,0,15,31,289,122,99,11.175201002508402,18336.647196,4.263319929077173,18336.647196
4,6,0,15,26,249,96,77,14.40569493919611,16663.801115,4.2217740735999465,16663.801115
5,3,0,15,23,171,93,73,17.05303455516696,15073.512878,4.178214476318886,15073.512878
6,9,1,15,22,124,61,49,19.9125997684896,12478.328844,4.0961564264981245,12478.328844
7,10,1,15,18,80,41,33,22.590290017426014,9850.636722,3.9934643031792314,9850.636722
8,2,1,15,15,56,27,22,25.0184489749372,8059.301248,3.9062973895355113,8059.301248
9,8,0,15,14,32,24,19,27.273231882601976,7313.616746,3.8641321983511663,7313.616746
10,7,1,15,14,12,16,13,28.718686904758215,7002.392739,3.8452464651261384,7002.392739
11,15,0,15,15,9,10,8,30.156534045934677,5347.183653,3.7281251005235254,5347.183653
12,13,0,15,14,6,5,4,31.55950365588069,3959.407926,3.5976302481236058,3959.407926
13,11,1,15,13,4,0,0,32.58480139449239,2576.197442,3.41097914466802,2576.197442
14,5,1,15,13,2,0,0,33.47124468535185,1853.494119,3.2679912123834405,1853.494119
15,4,1,15,14,1,0,0,33.95558386668563,1021.858682,3.009390839173222,1021.858682
./input/Dataset_preproc/01_istance_K3_N15_M45_07.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,343,193,161,0.000978,200490.808429,5.302094467030676,0
1,12,1,15,45,315,181,150,4.357151847332716,200430.980886,5.301964851865444,200430.980886
2,14,0,15,38,262,123,101,8.861407462507486,199650.791754,5.300271036812908,199650.791754
3,7,1,15,31,128,91,74,12.50549278408289,196108.928039,5.292497365772881,196108.928039
4,5,1,15,30,97,67,55,16.328312247991562,185755.727158,5.268942212660191,185755.727158
5,4,1,15,28,89,56,45,19.8356153331697,175507.546262,5.244295794474138,175507.546262
6,6,0,15,23,71,46,38,23.107104375958443,146010.110357,5.164382929210673,146010.110357
7,9,0,15,20,62,31,25,26.439643431454897,134501.898485,5.1287284144182825,134501.898485
8,11,1,15,15,50,18,14,29.014894172549248,119422.553867,5.077086354389607,119422.553867
9,3,0,15,12,30,13,10,31.432313483208418,99228.470624,4.996636297768089,99228.470624
10,8,1,15,12,20,6,5,33.50362764671445,77536.912374,4.889508502814696,77536.912374
11,2,1,15,12,16,0,0,35.410729106515646,59578.764946,4.775091496148302,59578.764946
12,1,1,15,11,8,0,0,36.926236756145954,41494.773901,4.617993402522233,41494.773901
13,10,0,15,12,4,0,0,38.230970703065395,25223.946141,4.401813030420967,25223.946141
