./input/Dataset_preproc/14_safe_safe_2_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,22,43,320,101,91,0.000625,270688.579524,5.432469933072555,0
1,9,0,22,43,288,91,82,5.369963224977255,270657.171614,5.432419539097956,270657.171614
2,14,0,22,42,256,97,86,10.240398656576872,270567.427009,5.432275511693478,270567.427009
3,3,0,22,42,256,97,86,10.66617602109909,270567.427009,5.432275511693478,231944.56393073907
4,10,0,22,36,224,66,59,15.184579469263554,269429.331942,5.4304448742641656,269429.331942
5,8,0,22,35,192,57,51,19.375752706080675,268191.426582,5.428444890414754,268191.426582
6,2,0,22,34,160,44,39,23.46989791840315,266681.484151,5.425992863420663,266681.484151
7,13,0,22,29,160,44,39,23.888725519180298,266681.484151,5.425992863420663,168428.32659611266
8,15,0,22,29,128,32,28,27.528781931847334,263623.630178,5.420984336103896,263623.630178
9,4,0,22,29,128,32,28,27.95555954426527,263623.630178,5.420984336103896,134605.56927513264
10,11,0,22,25,96,25,22,31.197787139564753,252649.511617,5.4025184630640695,252649.511617
11,12,1,22,24,64,13,11,34.85767728462815,241452.652021,5.382831979882403,241452.652021
12,1,1,22,24,64,13,11,35.38776918873191,241452.652021,5.382831979882403,208940.7556793585
13,5,0,22,22,64,13,11,35.87243588268757,241452.652021,5.382831979882403,84159.30906433107
14,16,0,22,19,64,13,11,36.39032105728984,241452.652021,5.382831979882403,78601.37828038928
15,22,1,22,19,32,13,11,38.86519157141447,205097.559391,5.311960492404799,205097.559391
16,17,1,22,20,24,7,6,40.925460163503885,166845.986069,5.222315762989296,166845.986069
17,7,1,22,19,16,0,0,42.44544889777899,160583.391194,5.205700625090841,160583.391194
18,18,1,22,18,16,0,0,42.89323567599058,160583.391194,5.205700625090841,52635.52684424776
19,21,1,22,18,8,0,0,43.964081071317196,101874.257301,5.0080644556007625,101874.257301
20,6,0,22,19,4,0,0,45.08011083677411,58770.600917,4.769160131306588,58770.600917
21,20,1,22,20,2,0,0,45.856282360851765,31255.826878,4.494930992722183,31255.826878
22,19,1,22,21,1,0,0,46.37245016545057,16614.077717,4.220476237667999,16614.077717
./input/Dataset_preproc/14_safe_safe_2_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,38,75,10240,248,219,0.000916,16590601045.6472,10.219862119965264,0
1,8,0,38,75,9216,235,208,10.352587539702654,16590144232.934725,10.219850161750422,16590144232.934725
2,24,0,38,74,8704,219,194,20.667620688676834,16589549705.004257,10.219834598002302,16589549705.004257
3,14,0,38,73,8192,187,164,31.24144499003887,16588826495.87312,10.219815664843365,16588826495.87312
4,2,0,38,70,8192,187,164,31.731338821351528,16588826495.87312,10.219815664843365,214158.19951488616
5,15,0,38,64,8192,187,164,32.291366405785084,16588826495.87312,10.219815664843365,180586.7234008706
6,26,0,38,64,7168,170,150,41.89290511980653,16586056438.995646,10.219743138865105,16586056438.995646
7,10,0,38,63,6656,160,141,51.97586488723755,16579960763.674181,10.219583498461542,16579960763.674181
8,18,0,38,62,6144,131,114,61.99386051669717,16570164479.375027,10.219326819350563,16570164479.375027
9,19,0,38,59,6144,131,114,62.71787226945162,16570164479.375027,10.219326819350563,140534.58784744848
10,4,0,38,59,6144,131,114,63.35354735702276,16570164479.375027,10.219326819350563,134605.56927513264
11,9,0,38,54,5120,120,105,72.21552318707108,16555815325.322922,10.218950573343573,16555815325.322922
12,25,0,38,53,4608,106,93,80.05565891414881,16548105627.938095,10.218748284370214,16548105627.938095
13,17,0,38,52,4096,80,69,88.39264440909028,16543660063.246977,10.218631597684835,16543660063.246977
14,16,0,38,52,4096,80,69,89.06048353761435,16543660063.246977,10.218631597684835,78601.37828038928
