./input/Dataset_preproc/14_safe_safe_2_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,22,43,320,101,91,0.000659,270688.579524,5.432469933072555,0
1,15,0,22,43,256,97,86,0.42140666767954826,266492.630484,5.425685203665082,0
2,4,0,22,43,256,97,86,0.7598425261676311,266492.630484,5.425685203665082,100000
3,10,0,22,37,256,97,86,1.1281232088804245,266492.630484,5.425685203665082,100000
4,5,1,22,36,64,13,11,1.4566983580589294,22170.978157,4.3457848540895165,0
5,3,0,22,34,64,13,11,1.8382720611989498,22170.978157,4.3457848540895165,100000
6,14,0,22,29,64,13,11,2.2228062972426414,22170.978157,4.3457848540895165,100000
7,1,1,22,29,0,0,0,2.4875301606953144,0,0,0
./input/Dataset_preproc/14_safe_safe_2_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,38,75,10240,248,219,0.00098,16590601045.6472,10.219862119965264,0
1,29,0,38,75,5120,234,207,0.45873526483774185,591737502.686113,8.772129094532218,0
2,7,0,38,74,5120,234,207,0.8235269673168659,591737502.686113,8.772129094532218,100000
3,9,0,38,73,4608,221,196,1.177040971815586,581602896.732909,8.7646265609046,0
4,1,0,38,72,3584,175,154,1.526357777416706,153586186.167912,8.186352156184851,0
5,12,0,38,68,3584,175,154,1.8672340400516987,153586186.167912,8.186352156184851,100000
6,13,0,38,65,3584,175,154,2.2314902245998383,153586186.167912,8.186352156184851,100000
7,4,1,38,65,1024,31,26,2.5800183303654194,13180720.118663,7.11993913825634,0
8,3,0,38,63,1024,31,26,2.9469779543578625,13180720.118663,7.11993913825634,100000
9,37,0,38,58,512,31,26,3.290328796952963,7561102.86936,6.878585146710744,0
10,30,1,38,57,256,31,26,3.598668869584799,4770875.380574,6.678598072556433,0
11,6,0,38,57,128,23,20,3.9485551714897156,2292010.910077,6.360216680561915,0
12,35,0,38,57,64,8,7,4.310041770339012,1198308.466977,6.078568627954686,0
13,38,1,38,56,32,8,7,4.66615517064929,1070555.798468,6.029609308094928,0
14,11,1,38,56,0,0,0,5.011735118925571,0,0,0
./input/Dataset_preproc/14_safe_safe_2_p_t3.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,54,107,327680,366,322,0.001278,31000241952846.918,13.491365083459312,0
1,50,1,54,107,163840,354,314,0.4530964642763138,14925160823837.861,13.173919019501845,0
2,29,0,54,107,147456,335,298,0.8611382804811001,14900901218477.057,13.173212535685792,0
3,8,0,54,106,139264,312,277,1.2038912810385227,14866990751597.123,13.172223071263524,0
4,1,0,54,105,106496,230,204,1.6337838433682919,11972046673314.014,13.078168401279013,0
5,12,0,54,99,106496,230,204,2.0064068883657455,11972046673314.014,13.078168401279013,100000
6,28,0,54,96,106496,230,204,2.3975366987288,11972046673314.014,13.078168401279013,100000
7,9,0,54,95,90112,216,192,2.7799623608589172,11964519422505.895,13.07789525904261,0
8,45,0,54,94,45056,198,176,3.1710421554744244,1595497316013.4878,12.202896077948825,0
9,4,0,54,93,28672,146,129,3.5757282227277756,1318019361401.0103,12.119921789990814,0
10,11,0,54,88,20480,134,119,3.9438858292996883,508800281202.15814,11.706547342664948,0
11,14,1,54,87,0,0,0,4.180767681449652,0,0,0
./input/Dataset_preproc/14_safe_safe_2_p_t4.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,70,139,10485760,509,450,0.001831,2.452891190045777e+16,16.38967828338339,0
1,57,0,70,139,5242880,490,434,0.4815024249255657,1.4299795814562678e+16,16.15532983625934,0
2,40,0,70,138,5242880,490,434,0.9445777572691441,1.4299795814562678e+16,16.15532983625934,100000
