./input/Dataset_preproc/14_safe_safe_2_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,22,43,320,101,91,0.000616,270688.579524,5.432469933072555,0
1,3,0,22,43,256,97,86,0.5351707153022289,270567.427009,5.432275511693478,0.7192079501728343
2,14,0,22,37,256,97,86,0.9191843047738075,270567.427009,5.432275511693478,282096.6310171295
3,9,0,22,37,256,97,86,1.3454415388405323,270567.427009,5.432275511693478,155720.4295546917
4,2,0,22,36,192,52,46,1.7572371996939182,267819.579218,5.427842323368725,0.6150184191196731
5,13,0,22,31,192,52,46,2.1567441150546074,267819.579218,5.427842323368725,168428.32659611266
6,8,0,22,31,192,52,46,2.7423302084207535,267819.579218,5.427842323368725,94551.07842454102
7,11,0,22,30,160,44,39,3.1618932746350765,256845.460657,5.409671894650439,0.48454080775755537
8,10,0,22,29,128,36,32,3.5643787048757076,255707.36559,5.4077432379560255,0.4401907626869945
9,4,0,22,28,96,25,22,3.933212924748659,252649.511617,5.4025184630640695,0.3988313163707633
10,15,0,22,24,96,25,22,4.367090068757534,252649.511617,5.4025184630640695,180586.7234008706
11,18,0,22,24,48,17,15,4.786381743848324,61636.991886,4.789841435380753,0.38802270298941527
12,7,0,22,23,48,17,15,5.2375598549842834,61636.991886,4.789841435380753,5770.740484615355
13,16,1,22,22,16,6,5,5.682741932570934,9232.350916,3.9653123033924667,0.36899770286601785
14,5,1,22,22,16,6,5,6.152852989733219,9232.350916,3.9653123033924667,215840.69093566894
15,1,0,22,21,16,6,5,6.63321303576231,9232.350916,3.9653123033924667,91059.2443206415
16,12,0,22,20,16,6,5,7.082350872457027,9232.350916,3.9653123033924667,81285.08778478751
17,22,0,22,20,16,6,5,7.606536295264959,9232.350916,3.9653123033924667,45170.46177666313
18,17,0,22,19,8,0,0,8.09506680071354,7933.472922,3.899463343772271,0.40875413477325
19,6,0,22,19,8,0,0,8.583116572350264,7933.472922,3.899463343772271,173068.0619626617
20,21,1,22,19,4,0,0,8.974585752934217,5033.002826,3.701827174250877,0.31720047927566053
21,20,1,22,20,2,0,0,9.408289514482021,2676.689749,3.4275980356972897,0.26591379354843303
22,19,1,22,21,1,0,0,9.90363746508956,1422.798113,3.153143280526794,0.2657756869209192
./input/Dataset_preproc/14_safe_safe_2_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,38,75,10240,248,219,0.000982,16590601045.6472,10.219862119965264,0
1,3,0,38,75,8192,187,164,0.4975069537758827,16564096629.51915,10.219167755369615,0.7192079501728343
2,9,0,38,69,8192,187,164,0.8963949233293533,16564096629.51915,10.219167755369615,155720.4295546917
3,16,0,38,68,8192,187,164,1.3748825937509537,16564096629.51915,10.219167755369615,78601.37828038928
4,17,0,38,65,8192,187,164,1.732281494885683,16564096629.51915,10.219167755369615,245252.48086395
5,25,0,38,65,8192,187,164,2.1262130551040173,16564096629.51915,10.219167755369615,83266.98522893352
6,22,1,38,64,6144,123,108,2.586475033313036,16420889400.003748,10.21539667599007,0.6452656952044931
7,28,1,38,59,6144,123,108,2.9626769572496414,16420889400.003748,10.21539667599007,68478.96926368668
8,2,0,38,55,4608,83,72,3.410212006419897,16419555781.948263,10.215361403449787,0.5878852535702757
9,14,0,38,51,4608,83,72,3.8189866319298744,16419555781.948263,10.215361403449787,282096.6310171295
10,15,0,38,49,4608,83,72,4.279619205743074,16419555781.948263,10.215361403449787,180586.7234008706
11,24,0,38,49,4608,83,72,4.673442285507917,16419555781.948263,10.215361403449787,116692.94679672513
12,8,0,38,48,4608,83,72,5.125814288854599,16419555781.948263,10.215361403449787,94551.07842454102
13,38,1,38,47,2304,76,67,5.536284793168306,14658495106.401196,10.166089386366949,0.5360334978702809
14,26,0,38,47,1920,67,60,5.987624831497669,14656272481.540653,10.166023530568419,0.5077808146101164
15,18,0,38,46,1536,41,36,6.4625760689377785,14646010307.58427,10.16571933544916,0.5496988292350049
16,19,0,38,44,1536,41,36,6.855893857777119,14646010307.58427,10.16571933544916,140534.58784744848
17,4,0,38,44,1536,41,36,7.3023812510073185,14646010307.58427,10.16571933544916,134605.56927513264
18,10,0,38,41,1536,41,36,7.688587568700314,14646010307.58427,10.16571933544916,182364.74454175483
19,11,0,38,40,1024,35,31,8.123177997767925,14583979442.324087,10.163876043462917,0.4547229118955519
20,31,0,38,39,512,35,31,8.561539467424154,13240722891.628616,10.121911696529287,0.4539475300274624
21,12,1,38,40,384,15,12,8.948980957269669,13179360853.073772,10.119894349202315,0.4374298244304249
22,1,1,38,38,384,15,12,9.344615582376719,13179360853.073772,10.119894349202315,208940.7556793585
23,13,1,38,36,384,15,12,9.735479857772589,13179360853.073772,10.119894349202315,131571.67340388734
24,5,0,38,36,384,15,12,10.11250614374876,13179360853.073772,10.119894349202315,84159.30906433107
25,20,0,38,34,384,15,12,10.547423545271158,13179360853.073772,10.119894349202315,140451.7238709402
26,27,0,38,32,384,15,12,10.881717886775732,13179360853.073772,10.119894349202315,191463.40331330575
27,21,0,38,32,384,15,12,11.241505827754736,13179360853.073772,10.119894349202315,109679.71243460369
28,7,1,38,32,256,6,5,11.61888875067234,12921512392.494799,10.111313348432645,0.653842798923077
29,29,1,38,31,256,6,5,12.01831317320466,12921512392.494799,10.111313348432645,88114.2139166488
