./input/Dataset_preproc/14_safe_safe_2_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,22,43,320,101,91,0.000654,270688.579524,5.432469933072555,0
1,3,0,22,43,256,97,86,0.5835342444479465,270567.427009,5.432275511693478,0.7192079501728343
2,2,0,22,44,192,52,46,0.940945565700531,267819.579218,5.427842323368725,0.6640564326042981
3,11,0,22,45,160,44,39,1.3585176356136799,256845.460657,5.409671894650439,0.4906693871442122
4,14,0,22,46,160,44,39,1.6861160583794117,256845.460657,5.409671894650439,0.4701610516952159
5,10,0,22,47,128,36,32,2.0667823888361454,255707.36559,5.4077432379560255,0.4541098381869785
6,22,1,22,48,48,25,22,2.430353242903948,207694.997778,5.317426036912698,0.4496991851000063
7,4,0,22,49,32,13,11,2.792020484805107,205097.559391,5.311960492404799,0.41738161015545
8,18,0,22,50,16,6,5,3.082742538303137,44514.168197,4.648498262451506,0.38802270298941527
9,9,0,22,51,16,6,5,3.410699315369129,44514.168197,4.648498262451506,0.3877623344642521
10,6,0,22,52,8,0,0,3.7284811548888683,38251.573322,4.582649302784031,0.3825715053911469
11,16,1,22,53,0,0,0,4.032778542488813,0,0,0.36899770286601785
./input/Dataset_preproc/14_safe_safe_2_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,38,75,10240,248,219,0.000949,16590601045.6472,10.219862119965264,0
1,3,0,38,75,8192,187,164,0.5344367139041424,16564096629.51915,10.219167755369615,0.7192079501728343
2,22,1,38,76,6144,123,108,0.8603161200881004,16420889400.003748,10.21539667599007,0.6865178825064377
3,2,0,38,77,4608,83,72,1.1070792973041534,16419555781.948263,10.215361403449787,0.6640564326042981
4,26,0,38,78,3840,74,65,1.4382851980626583,16417067924.525875,10.215295595054744,0.505773775817191
5,11,0,38,79,2816,65,58,1.7780455648899078,16341979016.509356,10.213304648518683,0.4906693871442122
6,27,0,38,80,2560,58,52,2.0965356938540936,16274391867.669565,10.211504769071269,0.4767665774204847
7,38,1,38,81,1152,40,35,2.4601206108927727,14526654467.44068,10.162165606477949,0.4729707334149537
8,10,0,38,82,896,34,30,2.8202932700514793,14521208657.166603,10.162002765902097,0.4541098381869785
9,14,0,38,83,896,34,30,3.1535632833838463,14521208657.166603,10.162002765902097,0.4425045192425561
10,31,0,38,84,448,34,30,3.485953252762556,13183733605.868366,10.120038418968466,0.427244734143494
11,4,0,38,85,384,15,12,3.856180526316166,13179360853.073772,10.119894349202315,0.41738161015545
12,17,0,38,86,384,15,12,4.1560567282140255,13179360853.073772,10.119894349202315,0.40875413477325
13,16,1,38,87,0,0,0,4.400521092116833,0,0,0.39070345009343066
./input/Dataset_preproc/14_safe_safe_2_p_t3.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,54,107,327680,366,322,0.001263,31000241952846.918,13.491365083459312,0
1,39,1,54,107,307200,346,308,0.5110413506627083,30545937607742.87,13.48495346034442,0.8425969883572473
2,3,0,54,108,245760,264,233,0.8635238371789455,30472155333056.08,13.483903173492388,0.7192079501728343
3,31,0,54,109,212992,244,216,1.213157095015049,28396635796943.043,13.453266891407349,0.6782299065232442
4,2,0,54,110,151552,163,142,1.626889519393444,28217577598076.21,13.450519728024128,0.6640564326042981
5,28,0,54,111,118784,146,129,2.008636824786663,26646744251590.78,13.425644153702374,0.5765148196200688
6,29,0,54,112,118784,146,129,2.368742097169161,26646744251590.78,13.425644153702374,0.5276207321443133
7,48,1,54,113,59392,146,129,2.7485567294061184,26261959551821.098,13.419327128105035,0.5217669453233145
8,36,0,54,114,59392,146,129,3.06257351860404,26261959551821.098,13.419327128105035,0.5137653314553521
9,11,0,54,115,43008,133,118,3.400428332388401,16528624186622.924,13.218236705173089,0.4906693871442122
10,14,0,54,116,28672,81,71,3.742233779281378,13425797002809.127,13.12794007639379,0.4701610516952159
11,45,1,54,117,14336,81,71,4.094553649425507,11630890895416.592,13.06561298180883,0.4586342600558996
12,10,0,54,118,10240,71,63,4.445443209260702,8032524491080.685,12.904852058384774,0.4541098381869785
13,22,1,54,119,3072,16,14,4.801618006080389,2824938183899.1694,12.451008948904056,0.4496991851000063
14,52,1,54,120,1536,16,14,5.126588374376297,2334361680265.559,12.36816814544305,0.4374745414447941
15,35,0,54,121,1536,16,14,5.47242971137166,2334361680265.559,12.36816814544305,0.42892519815845265
16,37,0,54,122,512,0,0,5.822623275220394,1637149333626.6995,12.214088295668548,0.42853598017402866
17,32,0,54,123,512,0,0,6.194474518299103,1637149333626.6995,12.214088295668548,0.42304536902596507
18,4,0,54,124,0,0,0,6.426891028881073,0,0,0.41738161015545
./input/Dataset_preproc/14_safe_safe_2_p_t4.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,70,139,10485760,509,450,0.001795,2.452891190045777e+16,16.38967828338339,0
1,38,1,70,139,9175040,354,310,0.5258020050823689,2.4436771787948704e+16,16.388043833023822,0.7220445959210308
2,3,0,70,140,7340032,263,228,0.9174362197518349,2.0540839423655216e+16,16.312618187538394,0.7192079501728343
3,2,0,70,141,5505024,181,155,1.2195562422275543,2.052467179327934e+16,16.312276221113898,0.6640564326042981
4,42,0,70,142,4587520,173,149,1.5033797807991505,2.034295953117206e+16,16.308414135143167,0.660664519090961
5,46,0,70,143,4587520,173,149,1.8219336122274399,2.034295953117206e+16,16.308414135143167,0.5599365056919376
