./input/Dataset_preproc/14_safe_safe_2_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,22,43,320,101,91,0.00064,270688.579524,5.432469933072555,0
1,7,1,22,43,32,0,0,0.46781574934720993,189048.011051,5.276572112568063,0.9807641983846155
2,1,1,22,42,32,0,0,0.9178637228906155,189048.011051,5.276572112568063,208940.7556793585
3,3,0,22,40,32,0,0,1.3529678918421268,189048.011051,5.276572112568063,231944.56393073907
4,14,0,22,34,32,0,0,1.7720810249447823,189048.011051,5.276572112568063,282096.6310171295
5,12,1,22,34,32,0,0,2.2139838449656963,189048.011051,5.276572112568063,218714.91221521248
6,2,0,22,34,32,0,0,2.620486006140709,189048.011051,5.276572112568063,214158.19951488616
7,13,0,22,29,32,0,0,3.040389094501734,189048.011051,5.276572112568063,168428.32659611266
8,9,0,22,29,32,0,0,3.4247929342091084,189048.011051,5.276572112568063,155720.4295546917
9,4,0,22,28,32,0,0,3.827640127390623,189048.011051,5.276572112568063,134605.56927513264
10,10,0,22,24,32,0,0,4.194638643413782,189048.011051,5.276572112568063,182364.74454175483
11,15,0,22,23,32,0,0,4.557829551398754,189048.011051,5.276572112568063,180586.7234008706
12,8,0,22,23,32,0,0,4.96325708553195,189048.011051,5.276572112568063,94551.07842454102
13,5,0,22,22,32,0,0,5.352134853601456,189048.011051,5.276572112568063,84159.30906433107
14,11,0,22,19,32,0,0,5.769090384244919,189048.011051,5.276572112568063,197046.5951547392
15,16,0,22,18,32,0,0,6.155399240553379,189048.011051,5.276572112568063,78601.37828038928
16,18,1,22,18,32,0,0,6.578957885503769,189048.011051,5.276572112568063,52635.52684424776
17,17,1,22,18,32,0,0,6.996607590466738,189048.011051,5.276572112568063,54747.519136049996
18,22,1,22,17,16,0,0,7.397970445454121,160583.391194,5.205700625090841,0.8494317940777897
19,21,1,22,18,8,0,0,7.801155738532543,101874.257301,5.0080644556007625,0.6344009585513211
20,6,0,22,19,4,0,0,8.21840737387538,58770.600917,4.769160131306588,0.576893539875539
21,20,1,22,20,2,0,0,8.612095680087805,31255.826878,4.494930992722183,0.5318275870968661
22,19,1,22,21,1,0,0,9.02294922247529,16614.077717,4.220476237667999,0.5315513738418384
./input/Dataset_preproc/14_safe_safe_2_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,38,75,10240,248,219,0.000961,16590601045.6472,10.219862119965264,0
1,7,1,38,75,1024,6,5,0.49627238884568214,15930779084.979141,10.202237015225725,0.9807641983846155
2,1,1,38,74,1024,6,5,1.005687553435564,15930779084.979141,10.202237015225725,208940.7556793585
3,3,0,38,72,1024,6,5,1.4182613864541054,15930779084.979141,10.202237015225725,231944.56393073907
4,12,1,38,66,1024,6,5,1.79811841994524,15930779084.979141,10.202237015225725,218714.91221521248
5,2,0,38,64,1024,6,5,2.230406031012535,15930779084.979141,10.202237015225725,214158.19951488616
6,14,0,38,59,1024,6,5,2.5923524908721447,15930779084.979141,10.202237015225725,282096.6310171295
7,15,0,38,56,1024,6,5,2.9237431287765503,15930779084.979141,10.202237015225725,180586.7234008706
8,9,0,38,56,1024,6,5,3.2763136625289917,15930779084.979141,10.202237015225725,155720.4295546917
9,4,0,38,55,1024,6,5,3.602574784308672,15930779084.979141,10.202237015225725,134605.56927513264
10,18,0,38,51,1024,6,5,3.8917899392545223,15930779084.979141,10.202237015225725,247364.47315575223
11,26,0,38,48,1024,6,5,4.221549563109875,15930779084.979141,10.202237015225725,203112.32584404654
12,10,0,38,47,1024,6,5,4.5906736589968204,15930779084.979141,10.202237015225725,182364.74454175483
13,19,0,38,46,1024,6,5,4.950591366738081,15930779084.979141,10.202237015225725,140534.58784744848
14,13,1,38,46,1024,6,5,5.255415938794613,15930779084.979141,10.202237015225725,131571.67340388734
15,24,0,38,46,1024,6,5,5.642407041043043,15930779084.979141,10.202237015225725,116692.94679672513
16,8,0,38,45,1024,6,5,6.099557366222143,15930779084.979141,10.202237015225725,94551.07842454102
17,29,1,38,44,1024,6,5,6.4770275838673115,15930779084.979141,10.202237015225725,88114.2139166488
18,22,1,38,44,1024,6,5,6.918865539133549,15930779084.979141,10.202237015225725,254829.5382233369
19,5,0,38,41,1024,6,5,7.294898670166731,15930779084.979141,10.202237015225725,84159.30906433107
20,11,0,38,39,1024,6,5,7.682019282132387,15930779084.979141,10.202237015225725,197046.5951547392
21,20,0,38,38,1024,6,5,8.023606445640326,15930779084.979141,10.202237015225725,140451.7238709402
22,27,0,38,35,1024,6,5,8.357568949460983,15930779084.979141,10.202237015225725,191463.40331330575
23,21,0,38,34,1024,6,5,8.75219152122736,15930779084.979141,10.202237015225725,109679.71243460369
24,16,0,38,34,1024,6,5,9.20407434552908,15930779084.979141,10.202237015225725,78601.37828038928
25,17,0,38,31,1024,6,5,9.562617801129818,15930779084.979141,10.202237015225725,245252.48086395
26,25,0,38,31,1024,6,5,9.880364660173655,15930779084.979141,10.202237015225725,83266.98522893352
27,28,1,38,30,1024,6,5,10.28192537650466,15930779084.979141,10.202237015225725,68478.96926368668
28,31,0,38,29,512,6,5,10.690033122897148,14463475634.078876,10.160272668292095,0.9078950600549248
29,38,1,38,30,256,6,5,11.066568724811077,12921512392.494799,10.111313348432645,0.8933891631171348
30,23,1,38,31,128,0,0,11.419068854302168,10570222914.067064,10.02408414618429,0.7244553248606352
31,30,1,38,31,128,0,0,11.811302542686462,10570222914.067064,10.02408414618429,189292.83715634633
32,36,0,38,31,64,0,0,12.179380349814892,7269552179.828907,9.861507658201617,0.6877387770275347
33,6,0,38,32,32,0,0,12.580138079822063,4193757690.331439,9.622603333904232,0.576893539875539
34,35,0,38,33,16,0,0,12.982005305588245,2407928635.627241,9.381643611484224,0.574169709704172
35,37,0,38,34,8,0,0,13.34096024185419,1381305114.754395,9.14028961993863,0.5736486930371918
36,33,0,38,35,4,0,0,13.71739001199603,786152176.009946,8.895506620854318,0.5691372366703562
37,32,0,38,36,2,0,0,14.068455256521702,445197055.369869,8.64855228315403,0.5662988273204718
38,34,0,38,37,1,0,0,14.394384525716305,225409903.615967,8.352972993304043,0.5063149023496938
./input/Dataset_preproc/14_safe_safe_2_p_t3.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,54,107,327680,366,322,0.001238,31000241952846.918,13.491365083459312,0
1,48,1,54,107,163840,351,310,0.48418832942843437,30551935021950.86,13.485038721705985,0.9855597856107051
2,7,1,54,107,16384,14,11,0.8503391928970814,4574378188423.517,12.660332067213394,0.9807641983846155
3,1,1,54,106,16384,14,11,1.3091740980744362,4574378188423.517,12.660332067213394,208940.7556793585
4,3,0,54,104,16384,14,11,1.6869656257331371,4574378188423.517,12.660332067213394,231944.56393073907
5,18,0,54,98,16384,14,11,2.113313425332308,4574378188423.517,12.660332067213394,247364.47315575223
6,12,1,54,95,16384,14,11,2.5067047365009785,4574378188423.517,12.660332067213394,218714.91221521248
7,2,0,54,93,16384,14,11,2.9433016031980515,4574378188423.517,12.660332067213394,214158.19951488616
8,15,0,54,88,16384,14,11,3.5203238539397717,4574378188423.517,12.660332067213394,180586.7234008706
9,29,0,54,85,16384,14,11,3.9283802323043346,4574378188423.517,12.660332067213394,211885.78608335118
10,9,0,54,84,16384,14,11,4.306546051055193,4574378188423.517,12.660332067213394,155720.4295546917
11,40,1,54,83,16384,14,11,4.700043518096209,4574378188423.517,12.660332067213394,150551.00276530097
12,19,0,54,83,16384,14,11,5.185357458889484,4574378188423.517,12.660332067213394,140534.58784744848
13,36,0,54,80,16384,14,11,5.639436177909374,4574378188423.517,12.660332067213394,206321.63310826043
14,20,0,54,80,16384,14,11,6.105695713311434,4574378188423.517,12.660332067213394,140451.7238709402
15,4,0,54,80,16384,14,11,6.591205317527056,4574378188423.517,12.660332067213394,134605.56927513264
16,10,0,54,76,16384,14,11,7.035127855837345,4574378188423.517,12.660332067213394,182364.74454175483
17,13,1,54,75,16384,14,11,7.483265936374664,4574378188423.517,12.660332067213394,131571.67340388734
18,30,0,54,73,16384,14,11,7.929361082613468,4574378188423.517,12.660332067213394,110707.16284365367
19,21,0,54,72,16384,14,11,8.45756046846509,4574378188423.517,12.660332067213394,109679.71243460369
20,31,0,54,69,16384,14,11,8.830351796001196,4574378188423.517,12.660332067213394,272368.5180164774
21,27,1,54,68,16384,14,11,9.239394392818213,4574378188423.517,12.660332067213394,108536.59668669425
22,33,1,54,65,16384,14,11,9.66626189276576,4574378188423.517,12.660332067213394,129258.82899889314
23,39,1,54,62,16384,14,11,10.09113334491849,4574378188423.517,12.660332067213394,283248.00546116394
24,8,0,54,58,16384,14,11,10.444351717829704,4574378188423.517,12.660332067213394,94551.07842454102
25,5,0,54,57,16384,14,11,10.946131467819214,4574378188423.517,12.660332067213394,84159.30906433107
26,11,0,54,55,16384,14,11,11.298334576189518,4574378188423.517,12.660332067213394,197046.5951547392
27,24,0,54,54,16384,14,11,11.651403542608023,4574378188423.517,12.660332067213394,116692.94679672513
28,32,0,54,52,16384,14,11,12.020949549973011,4574378188423.517,12.660332067213394,169889.64819614153
29,25,0,54,51,16384,14,11,12.386542230844498,4574378188423.517,12.660332067213394,83266.98522893352
30,26,0,54,49,16384,14,11,12.787031214684248,4574378188423.517,12.660332067213394,203112.32584404654
31,16,0,54,49,16384,14,11,13.163063947111368,4574378188423.517,12.660332067213394,78601.37828038928
32,17,0,54,47,16384,14,11,13.505678847432137,4574378188423.517,12.660332067213394,245252.48086395
33,35,0,54,47,16384,14,11,13.962381787598133,4574378188423.517,12.660332067213394,172250.9129112516
34,22,0,54,46,16384,14,11,14.401161540299654,4574378188423.517,12.660332067213394,45170.46177666313
35,37,0,54,44,16384,14,11,14.815508212894201,4574378188423.517,12.660332067213394,172094.60791115754
36,23,0,54,43,16384,14,11,15.349061749875546,4574378188423.517,12.660332067213394,82663.40254180942
