./input/Dataset_preproc/01_istance_K3_N15_M45_01.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,508,352,293,0.001166,308064.350781,5.488641444649738,0
1,10,0,15,45,507,270,222,0.5324449092149734,308003.823759,5.488556108146956,0.5832488857745864
2,2,0,15,46,445,189,153,0.8765251599252224,263722.717482,5.421147542201942,0.5422799117290886
3,7,1,15,47,234,129,104,1.3242549523711205,257704.182688,5.4111214674588455,0.49038209919230774
4,1,1,15,48,133,110,89,1.7026653438806534,189888.917908,5.2784996196509555,0.48982448217871594
5,8,1,15,49,112,85,68,1.9503376707434654,180753.409107,5.257086497072494,0.4816384974662775
6,14,0,15,50,33,35,28,2.3471452482044697,153654.525932,5.186545357031996,0.4701610516952159
7,5,1,15,51,24,17,14,2.674830585718155,125258.26178,5.09780638066409,0.46046014066276036
8,4,1,15,52,14,11,9,3.0204902067780495,73837.127659,4.868274793839775,0.4455772087931181
9,3,0,15,53,8,0,0,3.357080888003111,59500.548729,4.774520970919775,0.4417991693918839
10,6,0,15,54,4,0,0,3.6430417001247406,34325.482181,4.535616646624795,0.43823366827340654
11,11,0,15,55,4,0,0,3.9286115802824497,34325.482181,4.535616646624795,0.3284109919245653
12,15,1,15,56,4,0,0,4.278594221919775,34325.482181,4.535616646624795,0.321702697283632
13,13,0,15,57,2,0,0,4.6245589926838875,19271.278411,4.284910525679166,0.32081586018307173
14,9,1,15,58,1,0,0,4.945834569633007,9268.17257,3.966994111598409,0.307796416949991
15,12,0,15,59,1,0,0,5.368173621594906,9268.17257,3.966994111598409,0.2058257415717666
./input/Dataset_preproc/01_istance_K3_N15_M45_02.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,456,541,457,0.001499,8752.361038,3.9421252241604194,0
1,2,0,15,45,291,416,346,0.48822208493947983,6435.623392,3.8085906215733845,0.5769481618080595
2,4,1,15,46,252,283,234,0.8424407057464123,5825.198284,3.7653107129051677,0.501143802191719
3,6,0,15,47,207,201,165,1.175694365054369,4979.026221,3.697144413402518,0.48973180089745244
4,12,1,15,48,131,191,156,1.5550739616155624,4458.825505,3.6492204766782774,0.4665918127257866
5,13,0,15,49,108,137,113,1.8874686621129513,3662.294877,3.5637533094627174,0.42648517911577494
6,9,1,15,50,69,84,68,2.1928558237850666,2239.516147,3.3501541980723872,0.36533699341245224
7,8,1,15,51,45,51,42,2.5378338620066643,1490.484472,3.173327455873619,0.34241486929243165
8,15,1,15,52,34,41,34,2.817981280386448,1413.44148,3.1502778323238094,0.33790451188257964
9,11,0,15,53,14,12,10,3.296483837068081,658.452084,2.8185241765467883,0.3284109919245653
10,5,1,15,54,2,0,0,3.659510761499405,226.689575,2.355431548251449,0.3083438441938127
11,14,0,15,55,1,0,0,4.035627491772175,213.161218,2.3287081931281146,0.2789966680389193
12,3,0,15,56,1,0,0,4.481709491461515,213.161218,2.3287081931281146,0.27833347671688685
13,10,1,15,57,0,0,0,4.7695910185575485,0,0,0.2509552116442563
./input/Dataset_preproc/01_istance_K3_N15_M45_03.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,557,383,319,0.001288,356980.574653,5.55264458431796,0
1,7,1,15,45,401,214,175,0.5947428494691849,355628.557528,5.550996628222948,0.6897682274353341
2,14,0,15,46,291,141,117,0.9566951654851437,348954.661612,5.5427690043494104,0.6018061461698764
3,12,1,15,47,224,67,55,1.3656975738704205,323072.020798,5.509299348177994,0.5538181753421799
4,5,1,15,48,144,49,41,1.7086142748594284,255252.39408,5.406969824141346,0.546540226305947
5,8,1,15,49,88,23,19,1.986252248287201,213599.338176,5.3295999027247,0.5202267450377597
6,13,0,15,50,52,17,14,2.441030066460371,135445.986079,5.131766139309601,0.4953116333621794
7,9,1,15,51,52,17,14,2.858645047992468,135445.986079,5.131766139309601,0.44734327222983006
8,11,0,15,52,26,17,14,3.2598818726837635,88963.90128,4.949213819508061,0.4203660696634436
9,15,0,15,53,16,16,13,3.6110899187624454,61026.813392,4.785520693200872,0.3852516765885239
10,4,0,15,54,10,6,5,4.032703954726458,42248.796003,4.625814337032366,0.38089423955160157
11,2,0,15,55,4,0,0,4.442468594759703,26966.384682,4.43082272554434,0.35693033252481027
