"./input/Dataset_preproc/01_istance_K3_N15_M45_01.cnf",,,,,,,,,,,
"p","var","value","nb_vars","nb_cls","MC","edge_count","node_count","time","WMC","logWMC","obj"
0,-1,-1,15,45,508,352,293,0.001174,308064.350781,5.48864144464974,0
1,10,0,15,45,507,270,222,0.758319595945068,308003.823759,5.48855610814696,-308003.823759
2,10,0,15,45,507,270,222,0.758319595945068,308003.823759,5.48855610814696,-308003.823759
3,10,0,15,45,507,270,222,0.758319595945068,308003.823759,5.48855610814696,-308003.823759
4,10,0,15,45,507,270,222,0.758319595945068,308003.823759,5.48855610814696,-308003.823759
5,8,1,15,33,429,203,166,1.46638853393961,296523.398393,5.47205896883696,-296523.398393
6,8,1,15,33,429,203,166,1.46638853393961,296523.398393,5.47205896883696,-296523.398393
7,8,1,15,33,429,203,166,1.46638853393961,296523.398393,5.47205896883696,-296523.398393
8,5,1,15,29,332,123,100,1.98486689699348,242180.323734,5.38413885540127,-242180.323734
9,5,1,15,29,332,123,100,1.98486689699348,242180.323734,5.38413885540127,-242180.323734
10,5,1,15,29,332,123,100,1.98486689699348,242180.323734,5.38413885540127,-242180.323734
11,2,0,15,23,300,85,68,2.39261906198226,214955.73987,5.33234904638527,-214955.73987
12,2,0,15,23,300,85,68,2.39261906198226,214955.73987,5.33234904638527,-214955.73987
13,2,0,15,23,300,85,68,2.39261906198226,214955.73987,5.33234904638527,-214955.73987
14,2,0,15,23,300,85,68,2.39261906198226,214955.73987,5.33234904638527,-214955.73987
15,1,1,15,20,155,82,66,2.85560801392421,151955.611187,5.18171674168189,-151955.611187
16,1,1,15,20,155,82,66,2.85560801392421,151955.611187,5.18171674168189,-151955.611187
17,1,1,15,20,155,82,66,2.85560801392421,151955.611187,5.18171674168189,-151955.611187
18,7,1,15,19,81,58,47,3.36127431597561,148301.769912,5.17114633416006,-148301.769912
19,7,1,15,19,81,58,47,3.36127431597561,148301.769912,5.17114633416006,-148301.769912
20,7,1,15,19,81,58,47,3.36127431597561,148301.769912,5.17114633416006,-148301.769912
21,11,0,15,18,58,34,28,3.92673936497886,142907.980905,5.15505648327814,-142907.980905
22,11,0,15,18,58,34,28,3.92673936497886,142907.980905,5.15505648327814,-142907.980905
23,11,0,15,18,58,34,28,3.92673936497886,142907.980905,5.15505648327814,-142907.980905
24,11,0,15,18,58,34,28,3.92673936497886,142907.980905,5.15505648327814,-142907.980905
25,6,0,15,17,36,28,23,4.387063773931,89552.569004,4.9520780490154,-89552.569004
26,6,0,15,17,36,28,23,4.387063773931,89552.569004,4.9520780490154,-89552.569004
27,6,0,15,17,36,28,23,4.387063773931,89552.569004,4.9520780490154,-89552.569004
28,15,1,15,15,32,25,20,4.99319303093944,82448.732279,4.91618398237632,-82448.732279
29,15,1,15,15,32,25,20,4.99319303093944,82448.732279,4.91618398237632,-82448.732279
30,15,1,15,15,32,25,20,4.99319303093944,82448.732279,4.91618398237632,-82448.732279
31,3,0,15,13,22,10,8,5.49660233093891,74273.952965,4.87083653829828,-74273.952965
32,3,0,15,13,22,10,8,5.49660233093891,74273.952965,4.87083653829828,-74273.952965
33,3,0,15,13,22,10,8,5.49660233093891,74273.952965,4.87083653829828,-74273.952965
34,3,0,15,13,22,10,8,5.49660233093891,74273.952965,4.87083653829828,-74273.952965
35,14,0,15,12,8,0,0,6.02910403395072,62261.133033,4.79421701974358,-62261.133033
36,14,0,15,12,8,0,0,6.02910403395072,62261.133033,4.79421701974358,-62261.133033
37,14,0,15,12,8,0,0,6.02910403395072,62261.133033,4.79421701974358,-62261.133033
38,12,0,15,13,8,0,0,6.25726073991973,62261.133033,4.79421701974358,81285.0877847875
39,12,0,15,13,8,0,0,6.25726073991973,62261.133033,4.79421701974358,81285.0877847875
40,12,0,15,13,8,0,0,6.25726073991973,62261.133033,4.79421701974358,81285.0877847875
41,13,0,15,12,4,0,0,6.86483359197155,34955.128162,4.54351089879652,-34955.128162
42,13,0,15,12,4,0,0,6.86483359197155,34955.128162,4.54351089879652,-34955.128162
43,13,0,15,12,4,0,0,6.86483359197155,34955.128162,4.54351089879652,-34955.128162
44,13,0,15,12,4,0,0,6.86483359197155,34955.128162,4.54351089879652,-34955.128162
45,4,1,15,13,2,0,0,7.39158074592706,19271.278411,4.28491052567917,-19271.278411
46,4,1,15,13,2,0,0,7.39158074592706,19271.278411,4.28491052567917,-19271.278411
47,4,1,15,13,2,0,0,7.39158074592706,19271.278411,4.28491052567917,-19271.278411
48,9,0,15,14,1,0,0,7.93397912394721,10003.105841,4.00013486401857,-10003.105841
49,9,0,15,14,1,0,0,7.93397912394721,10003.105841,4.00013486401857,-10003.105841
50,9,0,15,14,1,0,0,7.93397912394721,10003.105841,4.00013486401857,-10003.105841
"./input/Dataset_preproc/01_istance_K3_N15_M45_02.cnf",,,,,,,,,,,
"p","var","value","nb_vars","nb_cls","MC","edge_count","node_count","time","WMC","logWMC","obj"
0,-1,-1,15,45,456,541,457,0.00142,8752.361038,3.94212522416042,0
1,2,0,15,45,291,416,346,0.532366054016165,6435.623392,3.80859062157338,-6435.623392
2,2,0,15,45,291,416,346,0.532366054016165,6435.623392,3.80859062157338,-6435.623392
3,2,0,15,45,291,416,346,0.532366054016165,6435.623392,3.80859062157338,-6435.623392
4,2,0,15,45,291,416,346,0.532366054016165,6435.623392,3.80859062157338,-6435.623392
5,12,1,15,39,198,294,244,1.52616935397964,5905.755661,3.77127547492257,-5905.755661
6,12,1,15,39,198,294,244,1.52616935397964,5905.755661,3.77127547492257,-5905.755661
7,12,1,15,39,198,294,244,1.52616935397964,5905.755661,3.77127547492257,-5905.755661
8,4,1,15,36,176,217,179,2.03613607003354,5304.997568,3.72468518914133,-5304.997568
9,4,1,15,36,176,217,179,2.03613607003354,5304.997568,3.72468518914133,-5304.997568
10,4,1,15,36,176,217,179,2.03613607003354,5304.997568,3.72468518914133,-5304.997568
11,13,0,15,30,153,159,131,2.57423261203803,4508.46694,3.65402888939794,-4508.46694
12,13,0,15,30,153,159,131,2.57423261203803,4508.46694,3.65402888939794,-4508.46694
13,13,0,15,30,153,159,131,2.57423261203803,4508.46694,3.65402888939794,-4508.46694
14,13,0,15,30,153,159,131,2.57423261203803,4508.46694,3.65402888939794,-4508.46694
15,3,0,15,24,53,87,72,3.01904615794774,2326.640889,3.36672935622997,-2326.640889
16,3,0,15,24,53,87,72,3.01904615794774,2326.640889,3.36672935622997,-2326.640889
17,3,0,15,24,53,87,72,3.01904615794774,2326.640889,3.36672935622997,-2326.640889
18,15,1,15,23,38,65,54,3.65472753101494,2194.248476,3.34128580539252,-2194.248476
19,15,1,15,23,38,65,54,3.65472753101494,2194.248476,3.34128580539252,-2194.248476
20,15,1,15,23,38,65,54,3.65472753101494,2194.248476,3.34128580539252,-2194.248476
