./input/Dataset_preproc/07_blocks_right_2_p_t5.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,406,1901,-1,-1,-1,0.01613771915435791,-1,-1,-1
1,301,0,406,1901,-1,-1,-1,7.038780575152487,-9.918518295093712e+40,-1,-9.918518295093712e+40
2,75,0,406,1898,-1,-1,-1,13.900992076843977,-9.918518295093357e+40,-1,-9.918518295093357e+40
3,241,0,406,1895,-1,-1,-1,18.909528541844338,-9.91851827514931e+40,-1,-9.91851827514931e+40
4,195,0,406,1892,-1,-1,-1,23.962296459823847,-9.91851827514931e+40,-1,-9.91851827514931e+40
5,280,0,406,1889,-1,-1,-1,28.101136608049273,-9.918517119937029e+40,-1,-9.918517119937029e+40
6,329,0,406,1886,-1,-1,-1,32.65145512809977,-9.918513840415598e+40,-1,-9.918513840415598e+40
7,126,1,406,1883,-1,-1,-1,37.49483483284712,-9.918501464754492e+40,-1,-9.918501464754492e+40
8,390,0,406,1877,-1,-1,-1,40.23469404084608,-9.917972674263964e+40,-1,-9.917972674263964e+40
9,172,0,406,1859,-1,-1,-1,40.23662878992036,-1,-1,276255.31177853845
./input/Dataset_preproc/07_blocks_right_2_p_t8.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,643,3029,-1,-1,-1,0.016931465826928616,-1,-1,-1
1,321,0,643,3029,-1,-1,-1,27.167922816239297,-7.630822632329115e+55,-1,-7.630822632329115e+55
2,411,0,643,3026,-1,-1,-1,53.0760639058426,-7.630822632329115e+55,-1,-7.630822632329115e+55
3,495,0,643,3023,-1,-1,-1,77.76534801721573,-7.630822632329115e+55,-1,-7.630822632329115e+55
4,259,0,643,3020,-1,-1,-1,101.18122604116797,-7.630822632329115e+55,-1,-7.630822632329115e+55
5,75,0,643,3017,-1,-1,-1,123.13479698402807,-7.630822632329095e+55,-1,-7.630822632329095e+55
6,119,0,643,3014,-1,-1,-1,144.0073274858296,-7.630822632102452e+55,-1,-7.630822632102452e+55
7,282,0,643,3011,-1,-1,-1,162.66373010212556,-7.630733125048184e+55,-1,-7.630733125048184e+55
8,210,0,643,3008,-1,-1,-1,180.016187177971,-7.630733125048184e+55,-1,-7.630733125048184e+55
9,567,0,643,3005,-1,-1,-1,196.16662397794425,-7.628272055564986e+55,-1,-7.628272055564986e+55
10,164,0,643,2990,-1,-1,-1,196.16954742185771,-1,-1,274528.75104245474
./input/Dataset_preproc/07_blocks_right_3_p_t5.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,804,4339,-1,-1,-1,0.02256662119179964,-1,-1,-1
1,645,0,804,4339,-1,-1,-1,474.19340184517205,-6.350488229885783e+72,-1,-6.350488229885783e+72
2,187,0,804,4336,-1,-1,-1,933.9399566659704,-6.350488229885783e+72,-1,-6.350488229885783e+72
3,599,0,804,4333,-1,-1,-1,1386.0344686401077,-6.350488229885783e+72,-1,-6.350488229885783e+72
4,531,0,804,4330,-1,-1,-1,1805.6307470700704,-6.350488229885784e+72,-1,-6.350488229885784e+72
5,410,0,804,4327,-1,-1,-1,2207.953583205119,-6.350488229885783e+72,-1,-6.350488229885783e+72
6,478,0,804,4324,-1,-1,-1,2573.588196385186,-6.350488229885783e+72,-1,-6.350488229885783e+72
7,303,0,804,4321,-1,-1,-1,2917.282306998037,-6.350488229885775e+72,-1,-6.350488229885775e+72
8,672,0,804,4318,-1,-1,-1,3242.7349710520357,-6.350488229885512e+72,-1,-6.350488229885512e+72
9,476,0,804,4315,-1,-1,-1,3543.465929355938,-6.350488229882191e+72,-1,-6.350488229882191e+72
10,706,0,804,4312,-1,-1,-1,3816.845573216211,-6.350488229881359e+72,-1,-6.350488229881359e+72
11,612,0,804,4290,-1,-1,-1,3816.8499382948503,-1,-1,242390.95688580975
./input/Dataset_preproc/07_blocks_right_5_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,823,5914,-1,-1,-1,0.02708381088450551,-1,-1,-1
1,495,0,823,5914,-1,-1,-1,1322.5040711439215,-7.20624848396144e+57,-1,-7.20624848396144e+57
2,672,0,823,5911,-1,-1,-1,2601.079401670955,-7.20624848396144e+57,-1,-7.20624848396144e+57
3,303,0,823,5908,-1,-1,-1,3835.995112031698,-7.20624848396144e+57,-1,-7.20624848396144e+57
4,236,0,823,5905,-1,-1,-1,5040.31092464691,-7.20624848396144e+57,-1,-7.20624848396144e+57
5,230,0,823,5902,-1,-1,-1,6195.052075652871,-7.20624848396144e+57,-1,-7.20624848396144e+57
6,531,0,823,5899,-1,-1,-1,7301.352063322905,-7.206248483080177e+57,-1,-7.206248483080177e+57
7,645,0,823,5896,-1,-1,-1,8343.315493053757,-7.206248477629018e+57,-1,-7.206248477629018e+57
8,445,0,823,5893,-1,-1,-1,9291.698856601957,-7.206248458075102e+57,-1,-7.206248458075102e+57
9,148,0,823,5890,-1,-1,-1,10144.024658601731,-7.206248395334949e+57,-1,-7.206248395334949e+57
10,600,0,823,5887,-1,-1,-1,10953.933838746976,-7.206248085144017e+57,-1,-7.206248085144017e+57
11,329,0,823,5884,-1,-1,-1,11707.262360638939,-7.206247598359832e+57,-1,-7.206247598359832e+57
12,210,0,823,5881,-1,-1,-1,12437.140990389977,-7.206245420453088e+57,-1,-7.206245420453088e+57
13,301,0,823,5878,-1,-1,-1,13097.78983181296,-7.206239751779609e+57,-1,-7.206239751779609e+57
14,31,0,823,5875,-1,-1,-1,13772.82672019396,-7.206237505415282e+57,-1,-7.206237505415282e+57
15,111,0,823,5839,-1,-1,-1,13772.832856056746,-1,-1,204963.63086448607
./input/Dataset_preproc/07_blocks_right_6_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,602,5251,-1,-1,-1,0.023747650906443596,-1,-1,-1
1,303,0,602,5251,-1,-1,-1,3092.430003738031,-4.855171236614812e+56,-1,-4.855171236614812e+56
2,273,0,602,5248,-1,-1,-1,6095.567044197116,-4.855171242960215e+56,-1,-4.855171242960215e+56
3,301,0,602,5245,-1,-1,-1,8701.780382022262,-4.855171234884592e+56,-1,-4.855171234884592e+56
4,148,0,602,5242,-1,-1,-1,11358.511757913977,-4.85517142396773e+56,-1,-4.85517142396773e+56
5,230,0,602,5239,-1,-1,-1,13884.263961161021,-4.855171228916594e+56,-1,-4.855171228916594e+56
6,329,0,602,5236,-1,-1,-1,16087.398561562877,-4.855171228916594e+56,-1,-4.855171228916594e+56
7,445,0,602,5233,-1,-1,-1,18267.751485113986,-4.855171161964514e+56,-1,-4.855171161964514e+56
8,458,0,602,5230,-1,-1,-1,20041.52030645823,-4.855171082362345e+56,-1,-4.855171082362345e+56
