./input/Dataset_preproc/13_ring2_r6_p_t10.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,598,1892,-1,-1,-1,0.01753831095993519,-1,-1,-1
1,450,0,598,1892,-1,-1,-1,631.7196293510497,-5.972500311485347e+55,-1,-5.972500311485347e+55
2,534,0,598,1890,-1,-1,-1,1106.3906395258382,-5.93713950043144e+55,-1,-5.93713950043144e+55
3,481,0,598,1888,-1,-1,-1,1505.0130461659282,-5.897523189494888e+55,-1,-5.897523189494888e+55
4,524,0,598,1886,-1,-1,-1,1803.270101313945,-5.855191074653656e+55,-1,-5.855191074653656e+55
5,458,0,598,1884,-1,-1,-1,1989.1501618428156,-5.810888054645592e+55,-1,-5.810888054645592e+55
6,321,0,598,1882,-1,-1,-1,4264.112834595144,-5.810887970617228e+55,-1,-5.810887970617228e+55
7,282,0,598,1881,-1,-1,-1,6466.236213777214,-5.810882163500967e+55,-1,-5.810882163500967e+55
8,241,0,598,1880,-1,-1,-1,8500.023672220763,-5.810868077984589e+55,-1,-5.810868077984589e+55
9,197,0,598,1879,-1,-1,-1,10272.884941210039,-5.810868077984589e+55,-1,-5.810868077984589e+55
10,236,0,598,1878,-1,-1,-1,11988.619657613803,-5.810790523935528e+55,-1,-5.810790523935528e+55
11,230,0,598,1877,-1,-1,-1,13672.26156853512,-5.810656881474665e+55,-1,-5.810656881474665e+55
12,301,0,598,1876,-1,-1,-1,15346.983277793974,-5.809918879807733e+55,-1,-5.809918879807733e+55
13,195,0,598,1875,-1,-1,-1,16767.930408272892,-5.809143430210816e+55,-1,-5.809143430210816e+55
14,280,0,598,1874,-1,-1,-1,18023.151429152116,-5.808247648807487e+55,-1,-5.808247648807487e+55
15,119,0,598,1873,-1,-1,-1,18565.32887635613,-5.807148920907249e+55,-1,-5.807148920907249e+55
16,303,0,598,1872,-1,-1,-1,19032.461896779016,-5.804898083319796e+55,-1,-5.804898083319796e+55
17,273,0,598,1871,-1,-1,-1,19406.440789856017,-5.802317130844712e+55,-1,-5.802317130844712e+55
18,490,0,598,1870,-1,-1,-1,19666.61350445077,-5.775154491563933e+55,-1,-5.775154491563933e+55
19,555,0,598,1868,-1,-1,-1,19928.786759632174,-5.611605415903374e+55,-1,-5.611605415903374e+55
20,126,1,598,1866,-1,-1,-1,20091.2096946151,-4.6820691745509875e+55,-1,-4.6820691745509875e+55
21,589,1,598,1857,-1,-1,-1,20138.83303140616,-3.5951727813492045e+55,-1,-3.5951727813492045e+55
22,568,0,598,1852,-1,-1,-1,20162.60776876984,-2.528874455362816e+55,-1,-2.528874455362816e+55
23,142,0,598,1828,-1,-1,-1,20162.6096786391,-1,-1,210941.76735579615
./input/Dataset_preproc/13_ring2_r6_p_t9.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,540,1705,-1,-1,-1,0.011342348996549845,-1,-1,-1
1,495,0,540,1705,-1,-1,-1,128.41104384884238,-3.7528968889667575e+61,-1,-3.7528968889667575e+61
2,457,0,540,1703,-1,-1,-1,214.7133974521421,-3.7528957257699774e+61,-1,-3.7528957257699774e+61
3,532,1,540,1701,-1,-1,-1,257.56310128979385,-3.7209915467127506e+61,-1,-3.7209915467127506e+61
4,410,0,540,1696,-1,-1,-1,518.9657207657583,-3.7209915450595513e+61,-1,-3.7209915450595513e+61
5,406,0,540,1694,-1,-1,-1,733.4989108811133,-3.720991467600789e+61,-1,-3.720991467600789e+61
