./input/Dataset_preproc/15_sort_num_s_4_p_t7.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,674,2513,-1,-1,-1,0.013422457966953516,-1,-1,-1
1,587,0,674,2513,-1,-1,-1,1369.1043047220446,7.032528772101092e+60,-1,-7.032528772101092e+60
2,210,0,674,2511,-1,-1,-1,2635.497389961034,7.032528828528089e+60,-1,-7.032528828528089e+60
3,485,0,674,2509,-1,-1,-1,3812.4355771793053,7.032528640857938e+60,-1,-7.032528640857938e+60
4,273,0,674,2507,-1,-1,-1,4899.396826166194,7.032528418913867e+60,-1,-7.032528418913867e+60
5,245,0,674,2505,-1,-1,-1,5981.0586093133315,7.032528577034302e+60,-1,-7.032528577034302e+60
6,438,0,674,2503,-1,-1,-1,6970.050985119306,7.032528175808791e+60,-1,-7.032528175808791e+60
7,548,0,674,2501,-1,-1,-1,7877.941583845299,7.032527298625408e+60,-1,-7.032527298625408e+60
8,280,0,674,2499,-1,-1,-1,8717.642212373205,7.032523516154843e+60,-1,-7.032523516154843e+60
9,259,0,674,2497,-1,-1,-1,9443.707378956955,7.032520744376468e+60,-1,-7.032520744376468e+60
10,267,0,674,2495,-1,-1,-1,10099.858741319273,7.032510340546812e+60,-1,-7.032510340546812e+60
11,31,0,674,2493,-1,-1,-1,10685.967540548183,7.032497993215994e+60,-1,-7.032497993215994e+60
12,599,0,674,2491,-1,-1,-1,11189.783093878068,7.032453175273796e+60,-1,-7.032453175273796e+60
13,236,0,674,2489,-1,-1,-1,11609.332396926358,7.032062415932418e+60,-1,-7.032062415932418e+60
14,75,0,674,2487,-1,-1,-1,12040.219630884938,7.030816320671579e+60,-1,-7.030816320671579e+60
15,42,0,674,2485,-1,-1,-1,12456.39860970527,7.030791961087096e+60,-1,-7.030791961087096e+60
16,645,0,674,2483,-1,-1,-1,12805.015139861964,7.029033579489033e+60,-1,-7.029033579489033e+60
17,616,0,674,2455,-1,-1,-1,12805.018033162225,254481.01498313632,-1,254481.01498313632
18,466,0,674,2454,-1,-1,-1,12805.020567621104,230106.0309953681,-1,230106.0309953681
19,237,0,674,2452,-1,-1,-1,12805.023143664002,209415.9491211843,-1,209415.9491211843
20,415,0,674,2451,-1,-1,-1,12805.026065469254,189337.54749572193,-1,189337.54749572193
21,519,0,674,2450,-1,-1,-1,12805.028586395085,180730.78450995407,-1,180730.78450995407
22,416,0,674,2449,-1,-1,-1,12805.03116021026,116406.88828352834,-1,116406.88828352834
23,465,0,674,2447,-1,-1,-1,12805.033714617137,104353.83786211754,-1,104353.83786211754
24,198,0,674,2446,-1,-1,-1,12805.036564850248,76565.80345747022,-1,76565.80345747022
25,129,0,674,2445,-1,-1,-1,12805.039121720009,57909.394758846254,-1,57909.394758846254
26,518,0,674,2444,-1,-1,-1,12805.041657497175,20147.24021407739,-1,20147.24021407739
27,290,0,674,2442,-1,-1,-1,12805.044192233123,12447.077093499958,-1,12447.077093499958
28,615,0,674,2441,-1,-1,-1,13061.297434514388,7.025114608399212e+60,-1,-7.025114608399212e+60
29,445,0,674,2439,-1,-1,-1,13250.812221991364,7.008933974099246e+60,-1,-7.008933974099246e+60
30,594,0,674,2437,-1,-1,-1,13630.983900462277,7.008933498688955e+60,-1,-7.008933498688955e+60
31,104,0,674,2435,-1,-1,-1,13957.513409118168,7.005229555970413e+60,-1,-7.005229555970413e+60
32,641,0,674,2433,-1,-1,-1,14200.44076878298,6.9862198607052e+60,-1,-6.9862198607052e+60
33,262,0,674,2405,-1,-1,-1,14200.443643092178,279765.4094609845,-1,279765.4094609845
34,178,0,674,2404,-1,-1,-1,14200.446180108003,258475.32816552307,-1,258475.32816552307
35,387,0,674,2403,-1,-1,-1,14200.44869814394,158793.3754660372,-1,158793.3754660372
36,101,0,674,2402,-1,-1,-1,14200.451601254288,146061.55374029934,-1,146061.55374029934
37,588,0,674,2401,-1,-1,-1,14200.454130843282,145166.74934054926,-1,145166.74934054926
38,482,0,674,2400,-1,-1,-1,14200.4566484862,105465.08642728567,-1,105465.08642728567
39,209,0,674,2398,-1,-1,-1,14200.459201466292,101649.63980162067,-1,101649.63980162067
40,208,0,674,2397,-1,-1,-1,14200.462080449332,90049.77756812559,-1,90049.77756812559
41,483,0,674,2395,-1,-1,-1,14200.464597232174,80219.63481212148,-1,80219.63481212148
42,388,0,674,2394,-1,-1,-1,14200.46715544723,57310.83818646448,-1,57310.83818646448
43,437,0,674,2392,-1,-1,-1,14200.469669546,13854.479005657073,-1,13854.479005657073
44,410,0,674,2391,-1,-1,-1,14413.466242159251,6.789608274747867e+60,-1,-6.789608274747867e+60
45,329,0,674,2389,-1,-1,-1,16325.286130265333,6.791286940044095e+60,-1,-6.791286940044095e+60
46,568,0,674,2388,-1,-1,-1,18189.78253362095,6.790273255039327e+60,-1,-6.790273255039327e+60
47,321,0,674,2386,-1,-1,-1,19989.30793599505,6.790273256323626e+60,-1,-6.790273256323626e+60
./input/Dataset_preproc/15_sort_num_s_4_p_t8.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,768,2872,-1,-1,-1,0.01609934587031603,-1,-1,-1
1,531,0,768,2872,-1,-1,-1,2912.423003348056,8.179932034413435e+65,-1,-8.179932034413435e+65
