./input/Dataset_preproc/04_iscas89_s1494_bench.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
./input/Dataset_preproc/04_iscas89_s1494.bench.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,661,2040,-1,-1,-1,0.027058822102844715,-1,-1,-1
1,187,0,661,2037,-1,-1,-1,4.850142505951226,2.564667205573456e+46,-1,-2.564667205573456e+46
2,329,0,661,2034,-1,-1,-1,9.173914965242147,2.564667205573456e+46,-1,-2.564667205573456e+46
3,195,0,661,2030,-1,-1,-1,13.285040542017668,2.564667205573456e+46,-1,-2.564667205573456e+46
4,325,0,661,2026,-1,-1,-1,19.00035987701267,2.564667205573456e+46,-1,-2.564667205573456e+46
5,438,0,661,2023,-1,-1,-1,24.82172972103581,2.564667205573456e+46,-1,-2.564667205573456e+46
6,182,0,661,2019,-1,-1,-1,30.49954795325175,2.564667205573456e+46,-1,-2.564667205573456e+46
7,176,0,661,2015,-1,-1,-1,36.02209880016744,2.564667205573456e+46,-1,-2.564667205573456e+46
8,548,0,661,2013,-1,-1,-1,41.37786409724504,2.5646672055734427e+46,-1,-2.5646672055734427e+46
9,259,0,661,2010,-1,-1,-1,46.28310482436791,2.5646672055733606e+46,-1,-2.5646672055733606e+46
10,410,0,661,2007,-1,-1,-1,50.75283108232543,2.5646672054781773e+46,-1,-2.5646672054781773e+46
11,210,0,661,2004,-1,-1,-1,55.303359396290034,2.5646672048750185e+46,-1,-2.5646672048750185e+46
12,232,0,661,2001,-1,-1,-1,59.274613451212645,2.5646672041997106e+46,-1,-2.5646672041997106e+46
13,241,0,661,1997,-1,-1,-1,63.2171824593097,2.56466720150077e+46,-1,-2.56466720150077e+46
14,242,0,661,1993,-1,-1,-1,63.220165190286934,154527.16696723222,-1,154527.16696723222
15,164,0,661,1990,-1,-1,-1,66.39190211007372,2.564667196527864e+46,-1,-2.564667196527864e+46
16,282,0,661,1988,-1,-1,-1,69.34941087011248,2.564666839560642e+46,-1,-2.564666839560642e+46
17,600,0,661,1985,-1,-1,-1,71.9524430562742,2.5646663798459685e+46,-1,-2.5646663798459685e+46
18,390,0,661,1983,-1,-1,-1,74.06851752940565,2.564609185109734e+46,-1,-2.564609185109734e+46
19,267,0,661,1979,-1,-1,-1,75.93771336833015,2.564373600882318e+46,-1,-2.564373600882318e+46
20,458,0,661,1977,-1,-1,-1,77.4758155993186,2.564373596217627e+46,-1,-2.564373596217627e+46
21,202,0,661,1974,-1,-1,-1,78.80528547102585,2.563307774165433e+46,-1,-2.563307774165433e+46
22,531,0,661,1972,-1,-1,-1,79.926032604184,2.5516433088803156e+46,-1,-2.5516433088803156e+46
23,493,1,661,1969,-1,-1,-1,80.84492112835869,2.317182958380242e+46,-1,-2.317182958380242e+46
24,643,1,661,1965,-1,-1,-1,81.58127128519118,2.313317814912832e+46,-1,-2.313317814912832e+46
25,445,0,661,1963,-1,-1,-1,83.99489013431594,2.313317814912832e+46,-1,-2.313317814912832e+46
26,615,0,661,1961,-1,-1,-1,86.14575206208974,2.313317814912832e+46,-1,-2.313317814912832e+46
27,143,1,661,1958,-1,-1,-1,88.17701511038467,2.313317814912832e+46,-1,-2.313317814912832e+46
28,142,0,661,1957,-1,-1,-1,88.18000645795837,210941.76735579615,-1,210941.76735579615
29,144,1,661,1956,-1,-1,-1,88.18285230128095,170701.1194290586,-1,170701.1194290586
30,490,0,661,1953,-1,-1,-1,89.88335250224918,2.313317814912832e+46,-1,-2.313317814912832e+46
31,273,0,661,1951,-1,-1,-1,91.48605483397841,2.3133178145093225e+46,-1,-2.3133178145093225e+46
32,355,0,661,1948,-1,-1,-1,92.86368059925735,2.3133178055525323e+46,-1,-2.3133178055525323e+46
33,450,0,661,1945,-1,-1,-1,94.03284237533808,2.313037829291816e+46,-1,-2.313037829291816e+46
34,518,1,661,1942,-1,-1,-1,95.05143449595198,4.7289892022284176e+45,-1,-4.7289892022284176e+45
35,197,0,661,1940,-1,-1,-1,95.98238330800086,3.985045146881411e+43,-1,-3.985045146881411e+43
failed with wmc 0.0
36,280,0,661,1940,-1,-1,-1,96.87110515497625,0.0,-1,-0.0
