./input/Dataset_preproc/04_iscas89_s832.bench.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,310,1056,-1,-1,-1,0.010187458246946335,-1,-1,-1
1,224,1,310,1052,-1,-1,-1,3.2221325072459877,1.2846590991881065e+32,-1,-1.2846590991881065e+32
2,303,0,310,1049,-1,-1,-1,5.998363587073982,1.2846590537424084e+32,-1,-1.2846590537424084e+32
3,148,0,310,1046,-1,-1,-1,8.760851408354938,1.284658744920881e+32,-1,-1.284658744920881e+32
4,256,1,310,1042,-1,-1,-1,11.191301376093179,1.2846533727349284e+32,-1,-1.2846533727349284e+32
5,290,0,310,1041,-1,-1,-1,11.193118693307042,12447.077093499958,-1,12447.077093499958
6,75,0,310,1037,-1,-1,-1,13.620741030201316,1.284644041456457e+32,-1,-1.284644041456457e+32
7,204,1,310,1033,-1,-1,-1,15.650285659357905,1.2844480080718866e+32,-1,-1.2844480080718866e+32
8,304,0,310,1030,-1,-1,-1,17.99699501413852,1.2844480069593004e+32,-1,-1.2844480069593004e+32
9,301,0,310,1028,-1,-1,-1,20.241776996292174,1.2844240204496338e+32,-1,-1.2844240204496338e+32
10,259,0,310,1024,-1,-1,-1,22.16925895633176,1.2839911506925406e+32,-1,-1.2839911506925406e+32
11,258,1,310,1020,-1,-1,-1,22.170994475018233,259637.95545686982,-1,259637.95545686982
12,222,1,310,1017,-1,-1,-1,23.829863513354212,1.2834553665145427e+32,-1,-1.2834553665145427e+32
13,187,0,310,1014,-1,-1,-1,25.324733898043633,1.2768801112232625e+32,-1,-1.2768801112232625e+32
14,189,1,310,1010,-1,-1,-1,26.43704173201695,1.2686715561315894e+32,-1,-1.2686715561315894e+32
15,175,1,310,1006,-1,-1,-1,27.36210308317095,1.2321786053568937e+32,-1,-1.2321786053568937e+32
16,92,1,310,1002,-1,-1,-1,28.15916399937123,1.1111112434399155e+32,-1,-1.1111112434399155e+32
17,225,1,310,999,-1,-1,-1,30.35691911028698,1.1111112334509522e+32,-1,-1.1111112334509522e+32
18,103,0,310,995,-1,-1,-1,32.1437835120596,1.1111110482558653e+32,-1,-1.1111110482558653e+32
19,263,1,310,993,-1,-1,-1,33.681614050175995,1.111056148746643e+32,-1,-1.111056148746643e+32
20,119,0,310,991,-1,-1,-1,34.98579606600106,1.1093459830351838e+32,-1,-1.1093459830351838e+32
21,245,0,310,988,-1,-1,-1,36.12269630515948,1.1056409623344975e+32,-1,-1.1056409623344975e+32
22,262,0,310,984,-1,-1,-1,37.01927774306387,9.016566624797432e+31,-1,-9.016566624797432e+31
23,179,1,310,981,-1,-1,-1,37.02096204319969,119813.61303084003,-1,119813.61303084003
24,178,1,310,977,-1,-1,-1,37.02252133237198,41524.67183447693,-1,41524.67183447693
25,31,0,310,964,-1,-1,-1,37.852280776016414,8.232354815581585e+31,-1,-8.232354815581585e+31
26,141,0,310,962,-1,-1,-1,37.85409096023068,272001.9868890538,-1,272001.9868890538
27,142,0,310,960,-1,-1,-1,37.85571394627914,210941.76735579615,-1,210941.76735579615
28,112,0,310,957,-1,-1,-1,37.980932276230305,193720.59732249644,-1,193720.59732249644
29,124,0,310,956,-1,-1,-1,37.98247822327539,143996.95407825496,-1,143996.95407825496
30,32,1,310,943,-1,-1,-1,37.98400367004797,130110.35180385849,-1,130110.35180385849
31,192,1,310,941,-1,-1,-1,37.98561191326007,215327.26868386724,-1,215327.26868386724
32,221,1,310,939,-1,-1,-1,37.9871260272339,125187.31827100323,-1,125187.31827100323
33,195,1,310,937,-1,-1,-1,37.98863237304613,8795.916868131382,-1,8795.916868131382
34,238,1,310,935,-1,-1,-1,38.57261802535504,5.198832776258022e+31,-1,-5.198832776258022e+31
failed with wmc 0.0
35,48,1,310,935,-1,-1,-1,39.10490054031834,0.0,-1,-0.0
