./input/Dataset_preproc/01_istance_K3_N15_M45_01.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,-1,-1,-1,0.002489363308995962,-1,-1,-1
1,10,0,15,45,-1,-1,-1,0.6528790681622922,308003.823759,5.488556108146956,-308003.823759
2,8,1,15,33,-1,-1,-1,1.0531161553226411,296523.398393,5.472058968836962,-296523.398393
3,5,1,15,29,-1,-1,-1,1.3373940763995051,242180.323734,5.384138855401271,-242180.323734
4,2,0,15,23,-1,-1,-1,1.5025354442186654,214955.73987,5.332349046385268,-214955.73987
5,1,1,15,20,-1,-1,-1,1.6777422800660133,151955.611187,5.181716741681886,-151955.611187
6,7,1,15,19,-1,-1,-1,1.9580344343557954,148301.769912,5.1711463341600625,-148301.769912
7,11,0,15,18,-1,-1,-1,2.2464688271284103,142907.980905,5.15505648327814,-142907.980905
8,6,0,15,17,-1,-1,-1,2.403771043289453,89552.569004,4.952078049015401,-89552.569004
9,15,1,15,15,-1,-1,-1,2.783801347017288,82448.732279,4.916183982376322,-82448.732279
10,3,0,15,13,-1,-1,-1,2.9544936730526388,74273.952965,4.870836538298281,-74273.952965
11,14,0,15,12,-1,-1,-1,3.2143439850769937,62261.133033,4.794217019743578,-62261.133033
12,12,0,15,13,-1,-1,-1,3.2145405542105436,81285.08778478751,4.910010879089764,81285.08778478751
13,13,0,15,12,-1,-1,-1,3.6125976871699095,34955.128162,4.54351089879652,-34955.128162
14,4,1,15,13,-1,-1,-1,3.886853198055178,19271.278411,4.284910525679166,-19271.278411
15,9,0,15,14,-1,-1,-1,4.157498792279512,10003.105841,4.0001348640185705,-10003.105841
./input/Dataset_preproc/01_istance_K3_N15_M45_02.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,-1,-1,-1,0.0023680226877331734,-1,-1,-1
1,2,0,15,45,-1,-1,-1,0.17973742866888642,6435.623392,3.8085906215733845,-6435.623392
2,12,1,15,39,-1,-1,-1,0.7720435038208961,5905.755661,3.771275474922569,-5905.755661
3,4,1,15,36,-1,-1,-1,1.0404027597978711,5304.997568,3.724685189141333,-5304.997568
4,13,0,15,30,-1,-1,-1,1.3152456576935947,4508.46694,3.6540288893979396,-4508.46694
5,3,0,15,24,-1,-1,-1,1.4901462909765542,2326.640889,3.3667293562299716,-2326.640889
6,15,1,15,23,-1,-1,-1,1.87381510483101,2194.248476,3.3412858053925247,-2194.248476
7,14,0,15,19,-1,-1,-1,2.0487912138924003,1550.966009,3.1906022799119307,-1550.966009
8,6,0,15,17,-1,-1,-1,2.2065666429698467,1209.834365,3.0827259163574,-1209.834365
9,8,1,15,17,-1,-1,-1,2.470354066696018,1114.281534,3.0469949334007147,-1114.281534
10,7,0,15,17,-1,-1,-1,2.4705547988414764,5770.740484615355,3.7612315441347364,5770.740484615355
11,10,0,15,14,-1,-1,-1,2.633858845103532,984.194408,2.993080893128826,-984.194408
12,11,0,15,14,-1,-1,-1,2.799783792812377,782.526077,2.8934988189450075,-782.526077
13,9,1,15,14,-1,-1,-1,2.958585521671921,486.986942,2.687517316259039,-486.986942
14,5,1,15,14,-1,-1,-1,3.226886237040162,213.161218,2.3287081931281146,-213.161218
15,1,0,15,15,-1,-1,-1,3.227084335871041,91059.2443206415,4.9593240418788564,91059.2443206415
./input/Dataset_preproc/01_istance_K3_N15_M45_03.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,-1,-1,-1,0.0026733819395303726,-1,-1,-1
1,7,1,15,45,-1,-1,-1,0.15933271776884794,355628.557528,5.550996628222948,-355628.557528
2,14,0,15,41,-1,-1,-1,0.3148834817111492,348954.661612,5.5427690043494104,-348954.661612
3,12,1,15,36,-1,-1,-1,0.5885972087271512,323072.020798,5.509299348177994,-323072.020798
4,9,1,15,32,-1,-1,-1,1.0726667530834675,323072.020798,5.509299348177994,-323072.020798
5,5,1,15,24,-1,-1,-1,1.3448319309391081,255252.39408,5.406969824141346,-255252.39408
6,13,0,15,22,-1,-1,-1,1.5172312939539552,165054.168134,5.217626496098862,-165054.168134
7,10,1,15,20,-1,-1,-1,1.9154242658987641,160675.260348,5.205949012286238,-160675.260348
8,8,1,15,15,-1,-1,-1,2.0861505190841854,135445.986079,5.131766139309601,-135445.986079
9,3,0,15,13,-1,-1,-1,2.262003033887595,104719.867257,5.0200290830309635,-104719.867257
10,6,1,15,14,-1,-1,-1,2.729840877931565,89502.252352,4.951833964609059,-89502.252352
11,4,0,15,12,-1,-1,-1,3.2145972177386284,73868.617909,4.8684599733933975,-73868.617909
12,2,0,15,11,-1,-1,-1,3.6235986459068954,52731.900707,4.722073425639918,-52731.900707
13,1,1,15,12,-1,-1,-1,3.9067985620349646,36726.14394,4.564975332007354,-36726.14394
14,11,0,15,13,-1,-1,-1,4.182204958051443,24122.538722,4.382423012213379,-24122.538722
