./input/Dataset_preproc/14_safe_safe_10_p_t10.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,321,666,-1,-1,-1,0.008580887224525213,-1,-1,-1
1,187,0,321,666,-1,-1,-1,1.6232629073783755,9.60203576167578e+64,64.98236331911592,-9.60203576167578e+64
2,197,0,321,665,-1,-1,-1,3.2623350992798805,9.602024230758704e+64,64.98236279757894,-9.602024230758704e+64
3,14,0,321,664,-1,-1,-1,4.663130979053676,9.602007511375674e+64,64.98236204136943,-9.602007511375674e+64
4,202,0,321,663,-1,-1,-1,5.846979510970414,9.601831188871608e+64,64.98235406630863,-9.601831188871608e+64
5,3,0,321,662,-1,-1,-1,6.818165914155543,9.601210674591307e+64,64.98232599930446,-9.601210674591307e+64
6,42,0,321,651,-1,-1,-1,6.819304250180721,265314.4814762113,5.423760955423584,265314.4814762113
7,43,0,321,648,-1,-1,-1,6.820315269287676,204814.35545390373,5.311360393104195,204814.35545390373
8,136,0,321,645,-1,-1,-1,6.821345768403262,276190.2628865953,5.441208363420153,276190.2628865953
9,44,0,321,644,-1,-1,-1,6.822391875088215,175552.13641391046,5.244406119059852,175552.13641391046
10,147,0,321,641,-1,-1,-1,6.82342833513394,77441.3544473888,4.888972940166593,77441.3544473888
11,45,0,321,640,-1,-1,-1,6.824471204075962,40107.25263499022,4.603222913631391,40107.25263499022
12,46,0,321,637,-1,-1,-1,6.825509786140174,224863.39038104797,5.351918754458761,224863.39038104797
13,47,0,321,634,-1,-1,-1,6.826504549011588,155089.7207211887,5.190583013919303,155089.7207211887
14,180,0,321,631,-1,-1,-1,6.827493539080024,172707.94167570243,5.237312308306513,172707.94167570243
15,169,0,321,630,-1,-1,-1,6.82847468322143,74784.89989704963,4.873813916669176,74784.89989704963
16,158,0,321,629,-1,-1,-1,6.829468301963061,33642.96219713321,4.5268942275905655,33642.96219713321
17,125,0,321,628,-1,-1,-1,6.830468065105379,29426.58820179883,4.468739911741935,29426.58820179883
18,48,0,321,627,-1,-1,-1,6.831441549118608,4332.064316788497,3.636694895833935,4332.064316788497
19,191,0,321,624,-1,-1,-1,6.832438908051699,238171.28176641776,5.3768893939130065,238171.28176641776
20,49,0,321,623,-1,-1,-1,6.833439836278558,144154.4642220572,5.158828096304418,144154.4642220572
21,50,0,321,620,-1,-1,-1,6.83443229040131,116131.6422711097,5.0649505676405955,116131.6422711097
22,51,0,321,617,-1,-1,-1,6.835424995049834,263811.4002029029,5.4212935589822795,263811.4002029029
23,213,0,321,617,-1,-1,-1,6.8364040781743824,172239.69174002428,5.236133239552737,172239.69174002428
24,172,0,321,616,-1,-1,-1,7.909151277970523,9.601209678677868e+64,64.98232595425601,-9.601209678677868e+64
25,164,0,321,615,-1,-1,-1,8.78842123132199,9.601102054636027e+64,64.9823210860372,-9.601102054636027e+64
26,166,1,321,614,-1,-1,-1,9.594825925305486,9.600000371535449e+64,64.98227124984746,-9.600000371535449e+64
27,177,1,321,604,-1,-1,-1,9.595831722021103,24534.026128195565,4.3897688234522505,24534.026128195565
28,188,1,321,594,-1,-1,-1,9.596729714423418,165477.81779472163,5.21873978509053,165477.81779472163
29,199,1,321,584,-1,-1,-1,9.597627792973071,141873.90067153654,5.151902509362677,141873.90067153654
30,210,1,321,574,-1,-1,-1,9.59850812330842,14729.139186832896,4.168177366168324,14729.139186832896
31,221,1,321,564,-1,-1,-1,9.599369713105261,125187.31827100323,5.097560336191658,125187.31827100323
32,200,0,321,555,-1,-1,-1,10.790956121403724,9.599964311416789e+64,64.98226961852045,-9.599964311416789e+64
33,156,0,321,554,-1,-1,-1,11.874035784043372,9.599899206434415e+64,64.98226667321465,-9.599899206434415e+64
34,182,0,321,553,-1,-1,-1,12.795575823169202,9.599676355173918e+64,64.98225659142172,-9.599676355173918e+64
35,207,0,321,552,-1,-1,-1,13.606973357032984,9.59887977199875e+64,64.98222055207842,-9.59887977199875e+64
36,141,0,321,551,-1,-1,-1,14.265969541389495,9.596092483131554e+64,64.9820944248648,-9.596092483131554e+64
37,148,0,321,550,-1,-1,-1,14.808900549076498,9.527643721413567e+64,64.97898550868494,-9.527643721413567e+64
38,195,0,321,549,-1,-1,-1,15.159416068345308,9.459060110525283e+64,64.97584798533505,-9.459060110525283e+64
39,176,0,321,548,-1,-1,-1,15.930684028193355,9.459046010403592e+64,64.9758473379547,-9.459046010403592e+64
40,178,0,321,547,-1,-1,-1,16.5415572184138,9.45832500677484e+64,64.97581423315411,-9.45832500677484e+64
41,155,1,321,546,-1,-1,-1,16.968860901426524,9.425667643366719e+64,64.97431212212035,-9.425667643366719e+64
42,2,0,321,536,-1,-1,-1,17.230888735037297,6.579151440193481e+64,64.8181698831875,-6.579151440193481e+64
43,32,0,321,526,-1,-1,-1,17.232370215002447,169889.64819614153,5.2301669170193765,169889.64819614153
44,33,0,321,523,-1,-1,-1,17.233686907216907,170741.17100110685,5.232338255635351,170741.17100110685
45,13,0,321,520,-1,-1,-1,17.23497268697247,168428.32659611266,5.226415133777828,168428.32659611266
46,34,0,321,519,-1,-1,-1,17.23624859098345,151894.47070490813,5.181541964869674,151894.47070490813
47,35,0,321,517,-1,-1,-1,17.237616480328143,172250.9129112516,5.236161532299654,172250.9129112516
48,36,0,321,515,-1,-1,-1,17.239050841424614,206321.63310826043,5.314544766736991,206321.63310826043
49,37,0,321,513,-1,-1,-1,17.24047041218728,172094.60791115754,5.235767263174068,172094.60791115754
50,179,0,321,511,-1,-1,-1,17.24190882127732,180186.38696915997,5.255721977056487,180186.38696915997
51,124,0,321,510,-1,-1,-1,17.243315475061536,143996.95407825496,5.158353305699439,143996.95407825496
52,157,0,321,509,-1,-1,-1,17.244745307136327,100538.26535901171,5.002331387839458,100538.26535901171
53,146,0,321,508,-1,-1,-1,17.246275576297194,73942.20276056563,4.8688923841936615,73942.20276056563
54,38,0,321,507,-1,-1,-1,17.247793154325336,31983.251064859563,4.50492260724531,31983.251064859563
55,190,0,321,505,-1,-1,-1,17.249323880299926,125347.36225623896,5.098115199326439,125347.36225623896
56,168,0,321,504,-1,-1,-1,17.25063318107277,21727.026127383142,4.337000286612634,21727.026127383142
57,39,0,321,503,-1,-1,-1,17.251922201365232,16751.994538836112,4.224066522754435,16751.994538836112
58,40,0,321,501,-1,-1,-1,17.253221825230867,149448.99723469903,5.1744930053779905,149448.99723469903
59,212,0,321,499,-1,-1,-1,17.254530254285783,144385.02273284845,5.159522145575524,144385.02273284845
60,201,0,321,498,-1,-1,-1,17.2555418391712,137209.22226344823,5.137383302650054,137209.22226344823
61,41,0,321,497,-1,-1,-1,17.25635445630178,112814.11446236665,5.052363438739924,112814.11446236665
62,135,0,321,497,-1,-1,-1,17.257244701031595,4943.517238933326,3.694036052957734,4943.517238933326
63,220,0,321,496,-1,-1,-1,19.996123403310776,6.579151385997032e+64,64.81816987960994,-6.579151385997032e+64
